Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F_cum,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
6,95,505.2006768643564,3.4959290000474192,2.722183197862515,3.5893687441447257,2.501218321628693,2.8947472952619475,70.21447953509086,35.3033156994061,53.207708636197474,3.0272994870280057,23.808401246605047,505.2006729427481,3.4959290000474192,2.722183197862515,3.5893697914502325,2.501214508437202,2.894746039298821,70.21447953509086,35.3033156994061,53.20773002601768,3.027327392271884,23.80835337845611,10.275224556288284,29.54285442060625,32.01807334534561,2.645130252163558,232.95637369155884,121.0,1331.0,78.41207922550848,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,43,505.20160624826906,2.396419969631893,3.704584098755295,3.589305807756875,2.5014800096706145,2.8946475475954303,35.26510669710551,51.72867636785827,53.2230456242729,3.024370766152104,23.807312322237483,505.2016012402626,2.396419969631893,3.704584098755295,3.5893043284064365,2.5014838899941862,2.8946467546398846,35.26510669710551,51.72867636785827,53.22319313766564,3.0243811694301743,23.80728253025488,10.31932785052316,29.46459580705492,31.85232977429715,2.672157813821236,107.44853281974792,55.0,605.0,551.5982591704415,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,44,505.2016729277325,2.2203784792341343,2.837149069431067,3.5891111775437405,2.502851875826418,2.8944088617310326,40.68287365644779,57.32142265414144,53.257942423373954,3.0256126718591867,23.795800750458067,505.2016728883848,2.2203784792341343,2.837149069431067,3.589111207208081,2.502852013659214,2.894408810544418,40.68287365644779,57.32142265414144,53.25794276396485,3.025611099374565,23.795801443138263,10.339981239762142,29.233665357392265,31.75034864713772,2.664702250763435,104.97708988189696,54.0,594.0,111.3397637445599,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,80,505.201847213042,2.212369651869073,2.591640848185941,3.5892381669014117,2.501605039981688,2.894645097850288,31.078078129874328,37.82572255313615,53.2257850289674,3.0334815084517697,23.799399349035944,505.2018467104623,2.212369651869073,2.591640848185941,3.589238133507526,2.5016049384613543,2.894645072748447,31.078078129874328,37.82572255313615,53.22578480705162,3.033480189719436,23.799402164906773,10.307413470439748,29.54404646191178,31.999903999905783,2.6556851346559216,191.58029222488403,99.0,1089.0,91.03927524646949,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,63,505.2022863645773,3.537628683964666,3.68023116582806,3.589690224695997,2.501880289327984,2.8942591326271665,64.08061166887434,21.62830995203317,53.19289851045883,3.0243375270641133,23.80937905876803,505.2022778882508,3.537628683964666,3.68023116582806,3.5896890107085304,2.501880385239305,2.8942597851836487,64.08061166887434,21.62830995203317,53.19289764037432,3.0243264275348403,23.809374940851622,10.340257031334726,29.55526005263137,32.036467366869275,2.6355024878467983,170.4508717060089,89.0,979.0,41.18362199129585,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,36,505.2049703468266,3.156276155677114,2.025259894883395,3.589377165180704,2.5037079396070827,2.894126648550114,60.07948119163254,39.48366823095966,53.21047395564923,3.0222291389042346,23.819279970522555,505.2049524509772,3.156276155677114,2.025259894883395,3.5893776569721965,2.503685353390387,2.894139007247274,60.07948119163254,39.48366823095966,53.21012840245989,3.0222492369462333,23.81943649101761,10.29817136560473,29.333978021344866,31.82181616713916,2.64281754552304,83.91272187232971,44.0,484.0,53.13665880744424,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,65,505.2059700960912,3.5684253692749976,3.356817271176873,3.589552944852642,2.5024164543301364,2.8940354236384853,54.93746467070514,64.96497009755794,53.18914282082662,3.0186660199876965,23.821366578967723,505.2059499275917,3.5684253692749976,3.356817271176873,3.58955588136086,2.5024766102733853,2.8940168027422795,54.93746467070514,64.96497009755794,53.19031535479343,3.0183163011896337,23.821097388656817,10.36654305671485,29.54552910700367,32.04764066525068,2.6299480680639022,165.37525868415833,88.0,968.0,152.84796163069544,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,52,505.2062441692622,3.7187877653801458,3.272434379960036,3.5888293275056675,2.5042096148016486,2.894060651974786,46.90221668501131,67.90362704524479,53.25636052704883,3.025073289576515,23.80960476170177,505.2062402981174,3.7187877653801458,3.272434379960036,3.588830615153788,2.504213463620441,2.894060286431336,46.90221668501131,67.90362704524479,53.25625093276983,3.0250871445983627,23.8096363132947,10.352421838863515,29.23712189545597,31.800774482341247,2.6512892872723564,119.14029383659364,60.0,660.0,331.54148681055153,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,66,505.20784083525,3.503149132224067,2.242302092514648,3.5886984503615165,2.503749760124638,2.8944029588594327,27.34023673182741,37.111219199010215,53.24856547069028,3.0381732891989053,23.80911871434784,505.2078407270827,3.503149132224067,2.242302092514648,3.5886984604982826,2.5037496722929427,2.894402995735727,27.34023673182741,37.111219199010215,53.248564921430656,3.038173830983708,23.809118149023337,10.286588074153736,29.43067338306826,31.88711137280812,2.6624569792298414,142.81362128257751,73.0,803.0,82.91294651174522,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,34,505.2152073992853,2.22793775516639,3.198447588454365,3.589674869603241,2.5002339698707763,2.8949753324169274,71.38109442496767,28.37482462536828,53.147009094926005,3.0399302249923217,23.82031823630824,505.21520476950616,2.22793775516639,3.198447588454365,3.589674717059727,2.5002341903530123,2.894975146043893,71.38109442496767,28.37482462536828,53.14702827036348,3.039932250277388,23.82031409785668,10.189851764711015,29.973107491441947,32.338084926867026,2.627159125042588,76.81474661827087,40.0,440.0,192.42746247446487,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
