Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
6,42,25.174280634809953,3.5478509036966095,2.8281119756391364,2.3223930633794505,2.843818805381146,2.099906917892174,3.0717928118310227,59.5212233088474,43.46779228379006,7.262078598519366,33.96441312437475,46.61906703507593,19.81161464511831,25.174280439046154,3.5478515966427464,2.8281119756391364,2.322392931701684,2.8438211564980946,2.099906917892174,3.0717928118310227,59.52122943897571,43.46779228379006,7.262066290029373,33.964435336953514,46.61906703507593,19.81161464511831,0.37529004241210384,7.3116543043058435,3.0330899591564413,1.17199151982161,96.15758109092712,52.0,676.0,11.27045030642153,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,41,8.083771631706277,3.8104037624787024,3.7917724363921335,1.9857639714756656,2.706807541073341,3.326882995636896,3.2433914404182436,48.73299635447171,71.71680181595964,7.629107273607354,38.72958170502774,29.284788096644842,23.29594430850597,8.083769803329064,3.8104027530082174,3.7917724363921335,1.985763698317453,2.706811502990276,3.326882995636896,3.2433914404182436,48.732943537755936,71.71680181595964,7.629094685682526,38.72962891696876,29.284788096644842,23.29594430850597,2.0368863494633893,1.1209651008341244,0.7334759297401109,1.0598900941080083,54.12649703025818,49.0,637.0,7.79472530235885,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,45,10.797083329958031,3.842879441767193,3.162717854546515,2.0601469535405696,2.664496925724481,2.479695518295172,2.9875394285374597,55.71737452990296,63.883758470761634,4.98369729338135,36.85714385763094,17.45077503017278,32.022078882796116,10.797079535674253,3.8428797648084263,3.162717854546515,2.060141855616509,2.6644931786843506,2.479695518295172,2.9875394285374597,55.71705912384241,63.883758470761634,4.983706185593971,36.85737043490613,17.45077503017278,32.022078882796116,0.4337116985825349,2.7497115806791195,0.6063054873608633,1.475267528559589,94.68035793304443,52.0,676.0,8.674624744648726,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,50,8.339173906628032,3.841561479901394,2.2600571442365553,2.2409576195092558,2.617117347673366,2.4232562320001176,2.5310933187444524,52.69336604147363,13.468565432610227,8.467412165678398,33.201780093663615,35.62569379161495,39.4915426007326,8.339172767048165,3.8415603757727963,2.2600571442365553,2.240948663394799,2.617119862082305,2.4232562320001176,2.5310933187444524,52.693437329462014,13.468565432610227,8.467367847571902,33.20181633215423,35.62569379161495,39.4915426007326,1.057169663496982,2.200159849917839,0.4830575458544717,0.6759765509232729,103.87744307518005,57.0,741.0,9.61747934985345,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,49,18.638193872930188,3.5550320489645078,3.544356059086493,2.470759769179448,2.7958307016275956,2.027903145951194,2.468724172242841,54.919519328010765,71.68606084469509,8.818757902608127,36.2075828165549,47.04622224181961,37.45481731312182,18.63819380813857,3.555031491270959,3.544356059086493,2.470756510595853,2.7958329830406607,2.027903145951194,2.468724172242841,54.91953929617543,71.68606084469509,8.818741623599154,36.207576758480506,47.04622224181961,37.45481731312182,0.03242365091766496,3.941169104930207,2.5497937934461197,2.7249135405967935,142.49357676506042,61.0,793.0,16.803694821920242,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,30,8.083755728277294,3.8103910934562695,3.440648986884316,1.985770939423199,2.706825820851548,2.293511781634226,2.1846771895375956,48.73098759883834,32.46144725779811,7.629711956682265,38.73042899911984,29.67180800411532,38.98268251388659,8.083755338616479,3.8103918444342195,3.440648986884316,1.9857711070499118,2.7068262807853243,2.293511781634226,2.1846771895375956,48.73098454974403,32.46144725779811,7.629687161791586,38.73046418695526,29.67180800411532,38.98268251388659,2.0366984129998453,1.121294707856077,0.7333249157615064,1.0602299560356236,67.38411974906921,35.0,455.0,7.37745905740117,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,41,8.411378909658517,3.7985193226474943,3.8107846374172984,1.990708786988003,2.731359758381103,3.5972071823040785,2.571437703468295,56.08233549778103,48.94216999698211,3.4576635419413106,39.21088561441138,30.17867221463104,43.25761851096945,8.411378613733167,3.7985188404156345,3.8107846374172984,1.9907071227701165,2.731360212352798,3.5972071823040785,2.571437703468295,56.0823493304358,48.94216999698211,3.45765368140976,39.21089071116279,30.17867221463104,43.25761851096945,0.25154772600700603,1.4392812776471624,0.6605232456520559,1.3070117505801333,90.3393497467041,47.0,611.0,10.7828944332655,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,34,10.029823372390556,3.812217028512702,3.7892133270076944,2.419273730553677,2.600644049501511,2.3396608391291376,3.756285006858826,49.08044536021874,37.3719956253284,7.45582018532933,38.75513718653509,39.21569898826657,26.043047085212205,10.029819364089445,3.812206046228437,3.7892133270076944,2.41929009294173,2.600650832719418,2.3396608391291376,3.756285006858826,49.08076791361971,37.3719956253284,7.455758155169378,38.75505874711878,39.21569898826657,26.043047085212205,0.5751604911380194,2.6349122167646373,1.160868262619927,1.3753610917292174,44.04657697677612,41.0,533.0,6.344542144062528,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,47,8.083801806937952,3.810446011511319,2.2149882582121854,1.985594038874783,2.706745630746039,3.1194339641082847,2.0251119603182315,48.73308399815592,72.8729614500177,7.629998895592317,38.729517519209935,23.831401059961323,41.03390489262826,8.083800956397274,3.8104466332148954,2.2149882582121854,1.9855989178001754,2.7067458637664856,3.1194339641082847,2.0251119603182315,48.73315046205367,72.8729614500177,7.629954682293565,38.7295094234427,23.831401059961323,41.03390489262826,2.042293129604385,1.11990091858428,0.7322964431783479,1.061007006444631,57.713024616241455,53.0,689.0,12.605151434408029,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,40,13.925254990174977,3.6725901338029656,2.420348019829679,2.1523378435537697,2.7938496135770885,2.5206301971570815,3.6095091274866906,48.76915173009124,51.56495725719611,7.684883151739284,38.6587260076026,24.215386967048882,17.308638173940835,13.925254377369669,3.672584693340635,2.420348019829679,2.1523526650655618,2.793851759535037,2.5206301971570815,3.6095091274866906,48.769188087812516,51.56495725719611,7.6848882984475715,38.6587778007468,24.215386967048882,17.308638173940835,2.3124806391939465,2.664731290356501,3.3397849925461087,1.7866743572964627,86.1490626335144,46.0,598.0,11.911270983213429,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
