,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
39,R134,300,1,1229.19899536,14.32845501376,23.709286611553818,3.2367536033899995,34671.5041437,4682.72168831,232.37359085878705,414.2541920447268,479.78268750535324
40,R134,300,2,1226.9089543100001,14.00776975556,23.673249963272642,3.17196602786,34765.962909500005,4579.4444901199995,232.0203973822895,414.2541920447268,479.78268750535324
41,R134,300,3,1228.4880916099999,14.35171010683,23.67251176889411,3.24195431483,34683.151387,4695.7582327499995,232.0131623742818,414.2541920447268,479.78268750535324
42,R134,320,1,1170.63105335,28.1939290683,21.82309122368756,6.43413277925,36165.43843649999,5141.05550638,213.88707953852762,414.2541920447268,479.78268750535324
43,R134,320,2,1163.77397287,25.986742728299998,21.80507461131942,6.01006810051,36529.5068511,4749.923978940001,213.71049957727922,414.2541920447268,479.78268750535324
44,R134,320,3,1165.4360137899998,26.408035176400002,21.77325685328193,6.06614582296,36471.6691025,4831.27050946,213.39865524347945,414.2541920447268,479.78268750535324
45,R134a,240,1,1320.56525132,2.7181168319799998,23.83122091791799,0.51973993381,-382.770955335591,2636.69527346,233.5686631982859,388.9714766841503,473.00780683130785
46,R134a,240,2,1319.56961515,3.05554723498,23.802853185694946,0.581700524988,-375.7206211941963,2960.4410116599997,233.2906324034674,388.9714766841503,473.00780683130785
47,R134a,240,3,1320.49529637,2.43132099664,23.851506912992487,0.465246584058,-398.01955750488366,2358.8415408200003,233.76748527154507,388.9714766841503,473.00780683130785
48,R134a,260,1,1266.96546296,6.730588503389999,22.488623569669986,1.356538479954,1059.047016345497,2901.26924796,220.40993041980408,388.9714766841503,473.00780683130785
49,R134a,260,2,1265.72324936,6.741896358109999,22.48124199218353,1.3600863553649998,1063.0321989324225,2907.2725918399997,220.3375839298049,388.9714766841503,473.00780683130785
50,R134a,260,3,1266.65665021,6.80992411063,22.50812963697155,1.376756167459,1048.2650629261084,2936.5032989700003,220.60110845804113,388.9714766841503,473.00780683130785
51,R134a,280,1,1210.0761169500001,14.4790884793,21.0374525843386,3.0336399230199995,2565.7505507069995,3142.9887811399994,206.1870725862322,388.9714766841503,473.00780683130785
52,R134a,280,2,1207.55372293,13.725335094500002,21.046803544163097,2.8955086733099997,2607.5885700510003,2980.41504987,206.2787208988953,388.9714766841503,473.00780683130785
53,R134a,280,3,1208.2615767700001,13.711093345800002,21.07015247260988,2.88011146109,2593.319985524,2979.58596254,206.50756263651382,388.9714766841503,473.00780683130785
54,R134a,300,1,1144.9858004700002,25.677694599000002,19.408851180628822,5.53204473145,4133.44991913,3036.8373740399998,190.22522765778623,388.9714766841503,473.00780683130785
55,R134a,300,2,1144.55706816,26.245125455100002,19.405569949037627,5.60676497531,4111.87884134,3107.3965133099996,190.19306846296197,388.9714766841503,473.00780683130785
56,R134a,300,3,1146.8666890900001,27.0026488412,19.407499186471185,5.75337598627,4066.2109761700003,3186.6529259400004,190.21197682732569,388.9714766841503,473.00780683130785
57,R134a,320,1,1073.6666593700002,44.1098789861,17.580825886521037,9.50615811487,5677.58313866,2947.3291038400002,172.30883866084721,388.9714766841503,473.00780683130785
58,R134a,320,2,1074.1751715159999,46.2644751773,17.491026164162836,9.876897485690002,5635.091917940001,3087.3575856099997,171.42871585140222,388.9714766841503,473.00780683130785
59,R134a,320,3,1075.2050177449999,47.3376200946,17.449629429865997,10.02434850745,5605.76917331,3160.1584233599997,171.02298842670206,388.9714766841503,473.00780683130785
60,R14,130,1,1570.1952047900002,2.2152532199099997,14.805552118051212,0.266705213762,-5395.066114040001,933.9901243769999,168.2366897759679,263.90197158993817,536.1972486562461
61,R14,130,2,1573.50965423,2.2215386132400003,14.84012536519485,0.267305667902,-5414.623242539999,936.6723108959999,168.62954838791796,263.90197158993817,536.1972486562461
62,R14,130,3,1572.9598468899999,2.32531544817,14.833361175673819,0.279400425342,-5357.25876967,980.1692928339999,168.55268635366474,263.90197158993817,536.1972486562461
63,R14,150,1,1494.20433196,2.75899526339,14.024910262587154,0.384279276985,-5173.466682159999,303.198934574,159.3661930449666,263.90197158993817,536.1972486562461
64,R14,150,2,1493.53968554,3.03562613953,14.018737575212647,0.421842013733,-5143.233748430001,333.49828521700005,159.29605229758826,263.90197158993817,536.1972486562461
65,R14,150,3,1494.72391085,3.06315844448,14.038562057293213,0.426290765492,-5153.2201949499995,336.684449204,159.5213194956748,263.90197158993817,536.1972486562461
66,R14,170,1,1412.0034069600001,9.96604355784,13.088900047202207,1.519514705702,-4092.09344495,390.657878392,148.73023303636535,263.90197158993817,536.1972486562461
67,R14,170,2,1411.97064048,9.132950347,13.11313797741656,1.39965574458,-4118.11655026,359.123527113,149.0056506036246,263.90197158993817,536.1972486562461
68,R14,170,3,1411.37390723,8.72926331113,13.127823356308031,1.343011355834,-4130.255087230001,343.494346471,149.17252175527824,263.90197158993817,536.1972486562461
69,R14,190,1,1322.1484580000001,22.968509360800002,12.032702732318777,3.7469269902700004,-3014.56084291,379.26955291999997,136.72857726632424,263.90197158993817,536.1972486562461
70,R14,190,2,1323.4627487100001,23.586132696550003,12.039928418852273,3.8297141577500007,-3018.0667648000003,389.57051428799997,136.81068332856773,263.90197158993817,536.1972486562461
71,R14,190,3,1325.45107376,25.032257000199998,12.018827221223509,4.052805025780001,-3011.2664838600003,412.90129043099995,136.57090870813707,263.90197158993817,536.1972486562461
72,R14,210,1,1223.91768844,50.448556251700005,10.76540906773933,8.47306619356,-1948.9529821539998,351.388868258,122.32821655009279,263.90197158993817,536.1972486562461
73,R14,210,2,1221.70295924,50.593278616700005,10.720465194239075,8.41520060051915,-1931.6649125229999,350.968594584,121.81751566956473,263.90197158993817,536.1972486562461
74,R14,210,3,1225.85910209,54.5560383074,10.683262219731388,8.96287515594,-1947.575237667,374.9918489386,121.39477525224777,263.90197158993817,536.1972486562461
75,R143,317,1,1075.5451998699998,14.6844228907,24.83231128292219,4.18320235294,4517.02084568,4681.30070391,295.48204763115405,420.03627460325595,434.9932597538159
76,R143,317,2,1074.8734727800002,14.424200135500001,24.835413712215665,4.14696058211,4555.662728050001,4594.182614769999,295.51896373412256,420.03627460325595,434.9932597538159
77,R143,317,3,1075.50654521,14.581331435,24.857497723358577,4.168352377440001,4520.1420367499995,4647.52411263,295.7817434954614,420.03627460325595,434.9932597538159
78,R143,337,1,1019.942163594,26.427446611599997,22.785673428007197,7.660238166480001,6128.641841840001,4991.728299660001,271.1289079962779,420.03627460325595,434.9932597538159
