,Unnamed: 0,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
98,98,R143a,280,3,1047.513572911,30.6410604644,16.661627986256157,7.14990413076,-109190.20517,-21781.694140100004,198.25830540523745,351.013085807893,442.82776292535283
99,99,R143a,300,1,969.400791675,54.95036634729999,14.653578570865054,12.60545767611,-107876.293211,-21593.8121642,174.36433330396304,351.013085807893,442.82776292535283
100,100,R143a,300,2,969.732468497,54.842593414,14.672330056472775,12.65434391275,-108103.521646,-21400.7171366,174.5874590251401,351.013085807893,442.82776292535283
101,101,R143a,300,3,969.236185047,54.736153308800006,14.636322559826969,12.58509603465,-107920.4731531,-21529.9906745,174.1590023777602,351.013085807893,442.82776292535283
102,102,R143a,320,1,870.596518875,94.4923855073,12.113264219964636,20.704941455984,-107093.6245546,-20750.8324137,144.1368898139533,351.013085807893,442.82776292535283
103,103,R143a,320,2,871.6394920219999,96.95775231650002,12.03919463367072,20.959731197658,-107098.2784735,-20757.1198698,143.25552872049877,351.013085807893,442.82776292535283
104,104,R143a,320,3,873.030364871,97.9971859873,12.018501396116008,21.130023857762303,-107024.6001146,-20826.3760493,143.00929790713954,351.013085807893,442.82776292535283
120,120,R152a,260,1,1045.6700272100002,4.052002362510001,23.228224738330603,1.261486841042,-74415.2264662,-10832.92891884,351.67105325173884,390.03922077460965,382.1893372467099
121,121,R152a,260,2,1045.4919318,4.30399790052,23.20831883756614,1.334446455126,-73560.52740630001,-11514.05249145,351.36968157281706,390.03922077460965,382.1893372467099
122,122,R152a,260,3,1045.95078478,4.28529530775,23.19556501038617,1.3294598929210002,-73621.5198681,-11454.30637186,351.1765909734322,390.03922077460965,382.1893372467099
123,123,R152a,280,1,996.027605058,8.94872325154,21.73118500007768,2.88057609125,-71735.4688304,-11717.93560131,329.0061467665543,390.03922077460965,382.1893372467099
124,124,R152a,280,2,996.777858836,9.06251725315,21.713193129329365,2.91503851644,-71522.37585859999,-11874.754552270002,328.7337531502833,390.03922077460965,382.1893372467099
125,125,R152a,280,3,997.447916993,8.90597895979,21.744636313217303,2.86642071259,-71791.22482209999,-11669.23562913,329.20979717517224,390.03922077460965,382.1893372467099
126,126,R152a,300,1,945.093633374,17.5793358534,20.04450727984117,5.762791342479999,-69347.7898313,-12356.56696192,303.4701560891004,390.03922077460965,382.1893372467099
127,127,R152a,300,2,943.990966843,17.0114211857,20.09931133504928,5.58125349151,-69842.27509209998,-11961.76095791,304.29987941211,390.03922077460965,382.1893372467099
128,128,R152a,300,3,946.815281958,17.634224854200003,20.096084799012864,5.75698926001,-69342.6554064,-12392.3024275,304.2510302495475,390.03922077460965,382.1893372467099
129,129,R152a,320,1,887.249220971,31.5664416379,18.136393770419,10.25039014241,-67375.88683189999,-12681.169099200002,274.581668262691,390.03922077460965,382.1893372467099
130,130,R152a,320,2,889.2850378219999,31.511427960300004,18.18042510914778,10.25371545111,-67525.0866124,-12578.26380312,275.2482946382005,390.03922077460965,382.1893372467099
131,131,R152a,320,3,883.807043163,30.3691087912,18.120972512116182,9.85677445058,-68025.616921,-12100.51266625,274.348193246373,390.03922077460965,382.1893372467099
132,132,R152a,340,1,820.847807935,53.88382557090001,15.86196767609556,16.792565884029997,-65856.7157716,-12678.71841384,240.14727522816548,390.03922077460965,382.1893372467099
