Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
10,53,106948.55431267656,3.360138819888286,3.5687120944573976,2.283932326438217,2.938144531004045,53.86197308521255,41.76955776523163,11.50408953584932,26.24019452065581,106948.53683209988,3.360184519193224,3.568659782140561,2.2839016407020587,2.9381370282270587,53.86024785546162,41.77330735485825,11.50403281712071,26.23968618184543,4.526794733635548,2779.48315241161,293.8743320444887,25.94214449923961,144.07733582627645,16071.489617793926,10327.450153500851,911.8671662181318,1076.9028571231147,248.679289706434,99.28910053455766,703.2219438882174,39.12261299836209,433.1169889850918,569.9622293795865,15.724455447105544,3.1901743303852714,48.95182757785277,8.388612286845367,31.826724597960496,2.26725463664642,101.82219115955274,87.00073877898909,7.793911623714212,85.04458632775659,463.35233277694033,312.5037950949732,181.26776927645267,94.5068074146165,15805.531168409225,8799.962516461983,1174.8202934674662,446.7219030857086,61.0,549.0,20847.508588684606,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,86,106948.6080676163,3.362413324647895,3.5691935640000945,2.2847375071899694,2.9380066617983527,53.73425749312604,41.7494793281565,11.511876634399547,26.23419078391851,106948.60307872028,3.3624082369600146,3.569184110074493,2.284721620861267,2.938008649369015,53.73440181606215,41.7496091388158,11.511980634427267,26.23420483329004,4.5398525289164375,2789.2910074036504,293.4142902635054,26.033069424606424,145.8593803054448,16150.330570554015,10374.531617571703,917.142775670054,1064.825692683531,247.86391227893336,98.97845649418292,697.9726226520128,38.8457458051408,426.253521450039,562.938990000062,15.232105706280088,3.169442987723498,49.26059350286548,8.017030750900926,31.62087536147665,2.2501224801114668,101.53936164241186,86.84416786244093,7.788398102673389,84.80285208564617,462.1410483682116,311.6201657454947,181.10723608091476,95.81041017515857,15877.277153539304,8835.918495960352,1178.1989778455932,605.585853099823,94.0,846.0,19992.87467803535,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,60,106948.78962359267,3.3600227715314928,3.5686034667850466,2.283700637393561,2.9381974348184228,53.86164790848942,41.78028784271458,11.499229782853778,26.244375535586297,106948.7848149552,3.360022272586624,3.5685968584630112,2.2837084005092603,2.9381964040008004,53.86153441626299,41.78045817062673,11.499236898504128,26.244352480925823,4.528804188162111,2792.2665711937348,294.51145604999994,26.07793708958283,144.04999877173168,16077.419611670248,10330.876387393891,912.340701718784,1076.414565854002,244.04877738998985,96.08529994754666,699.3659789027486,39.188890650133,435.2573280059946,572.0922553045177,15.884968223311136,3.234041881762688,48.55420062506825,8.937363563179355,32.2212100877849,2.283654689987621,101.83662735575842,86.80751979355543,7.86722853315369,85.24154632028768,467.1029013282942,315.0547242216921,181.95996342102555,94.69625061198776,15821.20137022938,8810.210048866278,1176.8405004754013,551.514401435852,74.0,666.0,20379.6645528022,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,72,106949.29544944577,3.3603220680629478,3.5678053594784576,2.2834709934541717,2.938259872091072,53.80552236280954,41.7794892413468,11.519223340430209,26.260660928793605,106949.26810697722,3.3603057861625274,3.5678376734609496,2.283459196924764,2.9382520203828024,53.804601758674266,41.77724971083864,11.51937681302492,26.260849483939108,4.555798809522291,2841.3323039540787,295.9733630813654,26.53366437860564,144.04242522646982,16063.37559401328,10321.5034292655,910.450155103872,1077.04960386384,244.5909450130765,97.4661907180671,702.3117209200348,40.0430283442683,426.1867550609799,564.3872609832131,15.02603235713403,3.2068568392290464,49.45830337612369,8.54252453403761,32.0079242572934,2.2870873346745006,102.0627921695653,86.92889066657067,7.892959643335804,85.54927339412552,466.9135557158119,314.81610515352594,182.3472599735897,94.23112408836651,15861.678468069338,8819.579033324522,1174.77756706008,531.3944506645203,81.0,729.0,37031.41977084999,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,49,106949.69774132431,3.359770114784086,3.568263705830192,2.2838652345255444,2.9381649066939715,53.8870159464091,41.78143395721216,11.504018228158804,26.239559657389293,106949.69753350387,3.3597710886089818,3.5682646448611903,2.2838651778662413,2.9381649032837576,53.887010343596266,41.78141234719368,11.504018299044658,26.239547475704384,4.522151957207388,2774.3160821038728,293.8888434550024,25.89726414971517,143.76959735202257,16054.167889181996,10317.0817862344,910.725698675406,1079.3320476126537,250.6309886907982,100.57400409033156,705.6160171596968,39.34349728176706,433.74903764274177,570.6868580779396,15.739769034352518,3.156814115919155,49.21002332168719,8.050112801251007,31.480000135625247,2.2616975293052195,102.23322764088532,87.51374904474552,7.703332909616015,85.02702579662561,460.43845051576295,310.56271411375855,180.7009261405102,94.205298433137,15784.544278186042,8788.77200838184,1173.4207468247466,366.8079788684845,56.0,504.0,18625.57683630873,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,62,106949.8251229656,3.359620481362882,3.568584498295586,2.284574155323101,2.9382735439835868,53.89185202784972,41.77307054519432,11.508426505172435,26.2457485649132,106949.82470825026,3.359619920395837,3.5685849499278266,2.284575195116461,2.938273817922434,53.891838584187546,41.77305132894929,11.50843419169422,26.24575570598066,4.5338405247213895,2807.34139970617,295.69032522062923,26.226930131449684,144.04283669834723,16053.154738505107,10316.42342756664,910.5610066623562,1078.851431594211,255.9320200757053,104.24469079526892,709.8236550278787,39.1689938572378,427.442774030044,564.2487462530763,15.276771014529606,3.18292120573295,49.088133426631664,8.433438351701612,32.01082190319923,2.245175874871013,101.72238704254386,86.71998589302203,7.860877467826233,84.99894875998764,466.8175480097644,314.7654516674793,182.03162464139663,94.19558840351468,15767.225936103352,8778.736617250404,1171.658175787209,497.8919863700866,69.0,621.0,16892.29835687006,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,61,106949.96671836886,3.3622908978156723,3.569015277012881,2.2857637704028906,2.937977368693072,53.7420915194612,41.74898710505283,11.498482060540136,26.23152319054968,106949.96594187975,3.3623006200768666,3.569021669909116,2.2857592403617337,2.9379775335278477,53.74211639404305,41.74905907792655,11.498452881251175,26.23132396751712,4.525552007017167,2767.721912541822,292.45470047007854,25.84034481939401,146.63405329380302,16208.151672005242,10410.738228083228,921.3062586682228,1059.457910862594,245.5963984648525,96.8138141248438,693.2233126948345,37.96726298914253,439.33004288526655,573.7832583902439,16.445788341212157,3.097398925676506,49.302990142559054,7.365254577928027,31.043824731561983,2.194406339157723,102.12751337497971,87.80019664919816,7.549937652876922,84.0496967650295,452.9149588823747,305.53037314220035,178.98973863892076,96.84774049818462,15889.630339279214,8852.1084361308,1182.6631918941052,494.1015310287476,67.0,603.0,21721.063001968287,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
25,38,106949.9942418659,3.361651416299104,3.5729527366698277,2.2838367608943084,2.9380849546728167,53.76009777290691,41.5902000412718,11.519304206845046,26.24091902150885,106949.99373728948,3.361650689653719,3.5729524787954943,2.283836103494275,2.938085031202521,53.760125602693314,41.590209890720345,11.519301421009342,26.240927902165687,4.522678993420268,2782.8618410296745,293.23632135933553,26.01370929201069,144.90536519178994,16104.550501656337,10346.553909294247,913.5382684984228,1071.6350126182622,247.35910465138045,99.1341946200409,701.3363097539835,36.62329040841797,443.4057115383831,578.6737682853193,16.980413153471062,3.172103720210147,49.19263898373119,8.275316496177163,32.616652108334584,2.195364363951577,98.2798144161469,83.97223817646208,8.054568122823106,83.846172788613,459.5782891879692,309.7548842943168,180.49546719335507,94.84451148788185,15870.782642610244,8826.107560795144,1175.629545025219,284.79233741760254,44.0,396.0,12197.705373478995,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
21,96,106950.17138498805,3.358698872948655,3.568276536155772,2.284522123094874,2.938358373055785,53.890085075135154,41.76041351307417,11.507624453112074,26.265248977740384,106950.17138498805,3.358698872948655,3.568276536155772,2.284522123094874,2.938358373055785,53.890085075135154,41.76041351307417,11.507624453112074,26.265248977740384,4.530275165996453,2819.616144865677,295.61421511029823,26.36275911024256,143.90905589238182,16074.253622788849,10329.890218876211,911.1761362365232,1079.064445924983,247.33883030065456,98.7266591987338,704.8752482104555,38.89567800157527,437.3120898959656,573.3680775553597,16.104121889108693,3.18556330486718,49.12512295344622,8.537793797471728,32.20653958697044,2.229823032883221,101.79084177589114,86.73361268518025,7.859427351006563,84.86319937615664,464.7689933942085,313.4232307638368,181.6596923188729,94.35807829975629,15823.659113338796,8807.92540279329,1175.5346328030855,822.0662424564362,127.0,1143.0,36040.725464073184,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,52,106951.2614425898,3.3615012225682266,3.569070591136824,2.283540163685507,2.937902927667285,53.84250382146882,41.79303013685424,11.500920958953492,26.21497588502548,106950.14988466771,3.362266831655313,3.569642624804452,2.283675674671659,2.937908806986456,53.79750631562669,41.77080349383257,11.501349199143643,26.21247528962272,4.541087661729667,2749.404888365069,292.6344957173905,25.571117457236,144.19636687136486,16061.300300290186,10320.647635886033,912.1430897918514,1074.9900344195423,252.20603571650437,101.28144771644511,703.2610205921997,39.57598955793994,423.12566070401226,561.0617524344987,14.87122874126941,3.245817779360217,48.4772086310844,8.74738649000263,31.80028030198053,2.326917784791664,101.86339080746542,87.01563097856169,7.830826177815882,85.50244179482902,467.6189856455484,315.3874691277011,182.03496756665464,94.5812741183927,15773.438117250338,8784.773766067774,1173.1466833100922,412.2777404785156,57.0,513.0,84620.54420463629,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,50,106951.82534273303,3.358188944216099,3.5684386317194927,2.28465949871792,2.938352168962054,53.9185408074569,41.74506202282762,11.513435090747183,26.26773376363953,106951.821040179,3.3581939228358326,3.5684383215937894,2.284669689408364,2.9383492493062096,53.91868462087255,41.74533575949763,11.513352757326208,26.26753573622737,4.548752651863408,2830.746492909766,296.100994884845,26.411478631189663,143.46352221457482,16041.541311318571,10310.295297932058,908.8182549194088,1082.665363525487,252.92174181566924,102.69673536982069,711.0438181177601,38.81288423159479,435.7567623940834,571.8625079554706,15.989482305459182,3.167124690567253,49.40659940380844,8.308010429624757,32.123381619494666,2.2178978415452426,101.59486648743378,86.60245734540864,7.861490949776306,84.75205362670864,463.4965257727295,312.52555763678413,181.49347392040443,93.76149100269278,15790.474195835184,8787.324819122236,1172.0307327235466,405.4424526691437,61.0,549.0,36090.20197175593,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,55,106954.81728749016,3.364130476764632,3.5710563166017533,2.285108191375452,2.937835804194819,53.635507928557246,41.68588138156701,11.516843908510744,26.230022266360297,106954.81712444758,3.36412965988421,3.571058204226987,2.285109472425491,2.93783584794396,53.6355300392548,41.68577453318216,11.51685716051035,26.23004343345259,4.566689515635277,2799.5897305620265,292.8608088479358,26.07165588884785,147.0336300442674,16204.982371402048,10407.173994722709,920.8299687932512,1055.9740427375475,245.1145656185494,97.34369110735469,692.5412988638057,37.83243438374115,424.8686102967325,561.038693848503,15.279112909166283,3.2222715541849736,48.922090251344216,8.445980674761215,32.24375901892016,2.246698427513975,100.10052483377338,85.41638654732839,7.979048468816667,84.51630430234535,465.3554458831173,313.69893272562354,181.7248976032694,96.76177888492305,15939.204617359326,8866.933049053048,1181.24801858898,459.1096725463867,59.0,531.0,18425.7790567546,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,77,106959.290493424,3.3567493924960834,3.570031644208742,2.284597669673322,2.9384834495068106,54.00159891424687,41.68888641327844,11.511069229430127,26.27400373864867,106959.28509378318,3.3567458045956124,3.570033806416763,2.2846004860279647,2.9384812988001805,54.00154205986243,41.688916661049696,11.511040273919445,26.27399087763638,4.554023235100129,2846.862046069896,297.66631051698187,26.55878970617878,142.52179322243612,15989.236234081643,10279.01164509618,905.36896037165,1089.8234108399706,257.0566898667098,105.40490684100224,717.0934606878637,37.75994943145092,442.82165183399945,577.9911682660552,16.74598181756881,3.2087327052593766,48.97377972479329,9.043486271446024,33.04866599255463,2.1946003661054148,100.16694216905135,85.06151663954067,8.075262427138929,84.41676836352454,467.8495326894864,315.404439370714,182.23261596936885,92.9497488421951,15731.83563419674,8757.213774542046,1168.6403404605908,683.0150549411774,96.0,864.0,31152.737543298696,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,74,106965.29244195145,3.3662221917801247,3.570919201813549,2.285034324756313,2.937690421158533,53.539939970267135,41.7005276664211,11.507214340686312,26.21529061148857,106965.2520602672,3.366234879749701,3.570915216982863,2.285041615291989,2.9376991293961883,53.54034432135808,41.70021841753433,11.507181903533374,26.21539476677673,4.556736206010783,2780.032697873361,291.7745036016432,25.91937531979029,148.4284244963809,16282.325802182411,10453.344011723317,926.7685174238674,1044.9549284663774,236.1419541387222,91.04969516971722,679.9150512390514,37.72808949606545,429.968625629157,565.6681464257438,15.70644277573035,3.1911764071556576,48.826336732280495,8.01401841071929,31.659469474000744,2.2506669797551284,100.61121347910164,86.24876966973092,7.794272069549319,84.36038658380879,459.3305770721562,309.7486566221351,180.3367056289915,98.31589225658992,16008.981880306272,8909.807780760813,1188.0430825528651,792.6566030979156,114.0,1026.0,37820.42454924949,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
24,62,106979.39252790346,3.354175648167104,3.56669659065724,2.2852005756574685,2.938677800493358,54.14651309145291,41.820944981273165,11.499721305858216,26.278091235662757,106979.39241334482,3.354176056111307,3.56669763643791,2.285198087536008,2.938677860732471,54.146537747994905,41.82090093281823,11.499722833016758,26.27808864153206,4.498664132730901,2803.773832496957,297.2222158398022,26.255788872098734,141.56335269611736,15956.735998831042,10261.38358989644,903.1813992036256,1098.5049339610937,262.65228425756527,108.69218144035456,724.5624519325006,39.42541593441496,437.1663283953702,572.7942626962985,16.023970636825062,3.169283793696533,49.05005004336231,8.708191856886708,32.28773114518988,2.205564937122789,102.83230290855954,87.41412335969345,7.8244508129230015,84.98274451533256,468.57551955233447,316.01455783251737,182.36556162760917,92.28576389470588,15653.976340636204,8723.460635772337,1166.4783148882166,480.9325699806213,75.0,675.0,29849.759161559643,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
