,molecule,temperature,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
27,R143,357,1065.1218432666667,30.017394904333337,23.31954231597092,9.118652242533335,5924.2824921,4322.913645322222
28,R143,377,1003.4402695855556,50.33131389488889,20.963232157747473,15.146211410733335,7377.434824822222,4939.6433212111115
29,R143,397,926.8087841299999,79.71819133300001,18.185517133680058,23.14637614261,8948.960203911109,5517.9317148
30,R143a,240,1161.0593749,8.787352857722222,18.749061484494273,1.9512882372111113,-107055.89939933333,-27034.280299
31,R143a,260,1101.2024221111112,18.129342646888887,17.41235871216341,4.168160452522222,-104221.36139633333,-28351.634129444446
32,R143a,280,1034.5391469488889,34.62641031955556,15.790865251321824,7.972066585633333,-100013.89626188889,-30916.124404444443
33,R143a,300,954.9851400311111,59.34229823733333,13.85007485866712,13.470665118744446,-96551.28989222222,-32835.63373466666
34,R143a,320,860.5124636122223,106.96219605022222,11.294872226317892,22.456141884344444,-86496.334994,-40871.780495555555
35,R152,260,1133.806708722222,2.2675886461966663,33.298918251801105,0.7067025502908888,-2403.5712190159074,2208.670080108889
36,R152,280,1100.1852838444445,2.051693420306666,32.201657399435966,0.6872028150103334,-731.9446334696311,1064.3513222344445
37,R152,300,1065.635084222222,2.2322950861922224,31.054162445703106,0.8184940875511111,1034.6836715136799,681.9316040377778
38,R152,320,1028.8370390622222,4.116250212144444,29.679562492708378,1.5945721471633332,2871.692247118889,795.2437947611111
39,R152,340,991.0049864777777,7.522358179744445,28.26554341175222,3.0414849090411114,4623.212130945555,967.5646251077778
40,R152a,260,1044.4050428777778,3.052422333088889,23.668146946474117,0.9613118911144444,-78098.86359911112,-8738.907872466665
41,R152a,280,1002.7779847877777,6.3067209358000005,22.430532287623002,2.083200648644444,-76014.56272677776,-9193.482375822221
42,R152a,300,957.7614015644446,12.1059913765,21.0553854821046,4.108226241344444,-73504.349541,-9989.522228900001
43,R152a,320,910.3433948566667,21.775088737,19.46925362844191,7.479139919211112,-70687.87272644445,-11026.4839684
44,R152a,340,856.2710595055556,36.382380407111114,17.64737259256041,12.351326718444442,-67983.61412277778,-12044.788713188887
45,R161,220,875.1203242299999,0.9846254148477777,22.300431071561547,0.3690532031511111,-32559.53019611111,-3370.9575912333335
46,R161,240,843.3237951677777,2.632329015333333,21.30908279688271,1.0574738891122224,-30973.268769888884,-3403.0927178222223
47,R161,260,807.6593454155555,5.166402668722222,20.241589688514527,2.2064761606000003,-29659.748906444445,-3267.8471221333334
48,R161,280,772.8318231744445,10.374198150922222,19.02307939961676,4.5974128652444435,-27713.69612011111,-3469.0500056000005
49,R161,300,735.20578206,19.365914002777775,17.633976487096533,8.678840869755556,-25616.578430444442,-3777.8490833111114
50,R170,210,517.0428838222223,6.1834733022111115,13.719204612467474,3.3456619917111112,-1750.112009437778,1883.2718987444446
51,R170,230,488.0396378277778,12.778418639211111,12.705754702377002,7.1776016567,-576.9950681915856,2196.8165668
52,R170,250,456.4372074533333,23.913159037333333,11.46183476241373,13.489823083455557,566.8856151479157,2569.932993088889
53,R170,270,418.27386602222225,42.38226552166666,9.771674286669821,22.89081103265556,1650.4446302655556,2985.389328877778
54,R170,290,365.56147822222215,72.25478686011112,7.458208094994218,35.7211773108,2765.564847011111,3577.153280488889
55,R23,190,1434.7744896666666,7.643063429677778,15.623308875569796,1.626190257177778,-5241.286933733333,1551.6429180666669
56,R23,210,1341.3298757222224,22.20525463844444,14.137966589274246,4.8486660388222225,-4231.2517919,1703.7052163222222
57,R23,230,1232.9993265777778,48.742146474555554,12.375835098251287,10.604221032066667,-3413.2821034222225,1662.4243515666665
58,R23,250,1092.0958176655554,99.027128813,10.01582686805719,20.12747447571111,-2380.9597756277776,1587.755399188889
59,R23,270,868.5382636311111,218.5622342922222,6.159262752388722,36.00124504393355,-832.1026338077334,1641.1848751044445
60,R32,241,1238.2900782999998,7.191585390488889,19.160700935782703,2.549206725577778,-7875.0013933,1151.2945004655553
61,R32,261,1167.3455128555554,15.142470331666667,17.741836681245054,5.504331976722222,-6804.156512944444,1238.7654701166668
62,R32,281,1092.2866671666666,30.678947868888887,16.013991350325444,11.006704264166666,-5557.2530347,1392.5886968777777
63,R32,301,999.6609601211111,56.434965932333334,13.837049896398977,19.43647689317778,-4294.515287755556,1483.0262624866666
64,R32,321,897.9341016411112,109.688805362,10.967928173607113,33.277566362222224,-2788.9556583666663,1627.0050167233333
65,R41,210,781.5391318744445,11.457370830266667,13.356700640355816,5.116014172033333,-4698.979008244444,1120.2636898777778
66,R41,230,,,,,,
67,R41,250,645.8480719344445,53.29066478622223,9.693136102961793,21.880066514211116,-2769.7825495444445,1073.1195021788888
68,R41,270,548.5342838022223,129.9225340462222,6.252162783230225,40.013906482496004,-1083.9358058301111,1339.9801533044447
69,R41,290,,,,,,
70,R50,130,413.94464477555556,5.905044500811111,7.868531826594587,3.682241313333333,-2448.576476455555,686.0751234255555
71,R50,140,396.06160541222226,10.489424071411111,7.413823599243472,6.719917080033333,-2035.2851653555554,776.5211350622221
72,R50,150,375.0915363566667,16.05617306555556,6.893706827105046,10.527027250433333,-1635.8561769944447,812.7827904111111
73,R50,160,353.6171825488889,25.565491454333333,6.252048755081676,16.582495650244443,-1204.0115255355556,904.6422424366666
74,R50,170,326.80731583111105,38.65363344600001,5.450894765672449,24.24237733711111,-732.4257693284111,1004.5973162944443
