Run,Iter,Min Obj,sigma_C_min,sigma_Hc_min,sigma_H1_min,sigma_H2_min,sigma_H3_min,sigma_F_min,epsilon_C_min,epsilon_Hc_min,epsilon_H1_min,epsilon_H2_min,epsilon_H3_min,epsilon_F_min,Min Obj Cum.,sigma_C_cum,sigma_Hc_cum,sigma_H1_cum,sigma_H2_cum,sigma_H3_cum,sigma_F_cum,epsilon_C_cum,epsilon_Hc_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_H3_cum,epsilon_F_cum,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
6,70,27.82698641538101,3.7676393428483617,2.4033585819920398,2.6916279262397094,1.5549855393443148,2.219487375047408,2.8782366784486166,69.21285350535118,5.138373739930891,6.113041764933322,11.751842407593864,6.779155463451395,40.68334383268316,27.82698634855336,3.7676394334051615,2.40335853278366,2.6916279262397094,1.5549855393443148,2.219487375047408,2.8782366784486166,69.21283993365857,5.138376000510995,6.113041764933322,11.751842407593864,6.779155463451395,40.68334383268316,0.5208492854286372,0.5369166431063235,5.825973805529076,13.644977781591653,81.03548264503479,76.0,988.0,963.313185237448,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,71,27.94910362571346,3.767460072554048,2.428992568801706,2.046094706323721,2.835592143089852,1.505792489970371,2.085957627511223,67.78907335960388,5.291183242473994,10.17162172133948,4.310853013265358,5.366182862341135,16.87377432276618,27.9490999683349,3.767461344027794,2.4289887109299118,2.046094706323721,2.835592143089852,1.505792489970371,2.085957627511223,67.78886688680198,5.291226793874104,10.17162172133948,4.310853013265358,5.366182862341135,16.87377432276618,1.879292238512407,0.3405548908723566,6.5579537296554005,12.67950410091854,78.73209142684937,76.0,988.0,6442.680294284038,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,42,28.528245546289664,3.7722273623424174,2.419660540507309,1.74161332131472,2.1420965036695963,2.628575703671983,2.103925767294802,66.20194535885197,5.580591542669388,8.428057685182596,6.675071741913889,8.7119349523325,29.10989053708933,28.52824523154273,3.7722263693355487,2.4196605689446686,1.74161332131472,2.1420965036695963,2.628575703671983,2.103925767294802,66.20192276497284,5.580597055800557,8.428057685182596,6.675071741913889,8.7119349523325,29.10989053708933,1.530419977857203,0.5394430014913416,6.089491733832466,14.065565259304664,56.516719579696655,52.0,676.0,121.86717250277366,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,79,29.499026183038865,3.785541729760393,2.382868129236619,2.0690922173211472,1.7906327271585858,2.31392559819471,3.2110571202742086,65.18939944588134,5.862024546417933,10.963308356083989,5.091836424584056,11.409927627394504,21.034548806811703,29.49899524585961,3.785541690604091,2.382867944773099,2.0690922173211472,1.7906327271585858,2.31392559819471,3.2110571202742086,65.18949786552204,5.862007090624854,10.963308356083989,5.091836424584056,11.409927627394504,21.034548806811703,0.8521930603353601,0.6712976169395541,6.195808080871735,14.213411333707068,109.65458869934082,101.0,1313.0,354.5946422441659,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
25,71,29.725422659757363,3.7807837223177536,2.399662518519494,2.3526216345798407,1.660580990493537,2.570616667850913,2.592388186928889,64.06831671762609,6.008507199036398,5.054539859453084,4.158734370372776,6.773393224268073,31.919090960540856,29.72542071564085,3.78078346170952,2.3996626133681085,2.3526216345798407,1.660580990493537,2.570616667850913,2.592388186928889,64.06834146894089,6.008502283863222,5.054539859453084,4.158734370372776,6.773393224268073,31.919090960540856,0.9918231359736326,0.601874411024543,6.832823710520089,14.856003876759782,83.48723340034485,79.0,1027.0,1904.6224254362085,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,126,30.654657492210543,3.7780359262327146,2.4184582507715096,2.783026809856469,1.615598172045958,2.863553380783896,2.025088967294613,62.44643536546456,6.242422682316521,9.004688644358389,9.784890236154146,3.706241865249913,19.458500749711217,30.654652894419907,3.778036370832452,2.418457371342529,2.783026809856469,1.615598172045958,2.863553380783896,2.025088967294613,62.446390712876216,6.242434074689081,9.004688644358389,9.784890236154146,3.706241865249913,19.458500749711217,1.545611471958824,0.6060906754543313,7.327874848853488,15.327824582810248,154.84457874298096,136.0,1768.0,3792.808434419717,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,55,31.064022278139223,3.789930815730525,2.3921066992419595,1.905803786108412,2.322205156259534,1.931098976566721,2.7446775925289293,61.35462371859138,6.541289959183701,13.43618323456518,14.52840562430706,7.331903214056687,26.53329922846189,31.064013467237185,3.789930714861226,2.392096421982776,1.905803786108412,2.322205156259534,1.931098976566721,2.7446775925289293,61.354694370732,6.541322464348042,13.43618323456518,14.52840562430706,7.331903214056687,26.53329922846189,1.0199646284126378,0.560340914150741,6.463652087663842,16.24525808275448,63.58040165901184,60.0,780.0,644.9172487646861,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,57,32.511555452887364,3.7958995416046064,2.3886808385718705,2.088342149750651,1.525850606736977,2.370504277190785,2.532915980692766,58.356423914017,7.16135496113594,2.8741878174608115,8.31130787209612,14.25162599843062,27.612206819197556,32.51154993971005,3.795904153884928,2.388678689101303,2.088342149750651,1.525850606736977,2.370504277190785,2.532915980692766,58.35636034831771,7.161375499410616,2.8741878174608115,8.31130787209612,14.25162599843062,27.612206819197556,0.7835738982582054,0.4203755481368528,6.140569461106511,18.11370729959896,71.79978919029236,66.0,858.0,56.413109512390086,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,65,33.188682488582955,3.803763440304504,2.3786844236733518,2.767090780632573,2.458988050748852,2.467741574632591,3.446058739067581,56.73856306529597,7.552520972025593,6.498010560661276,8.463534502907148,13.452927503322217,45.40275403095999,33.1886823904779,3.803764405934234,2.3786798278905392,2.767090780632573,2.458988050748852,2.467741574632591,3.446058739067581,56.73851885220545,7.552554794815262,6.498010560661276,8.463534502907148,13.452927503322217,45.40275403095999,0.6907076104503818,0.2770597310702782,5.71439933479288,18.650956819739942,85.19391226768494,74.0,962.0,376.4204803407941,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
22,43,33.32766742091744,3.8051112144227393,2.37385721240536,2.0982186136383048,2.739995287347353,1.798088411593306,2.928390391772511,56.309427949303135,7.672649127280093,12.457566176998563,5.882602825854203,11.81151179605776,39.04574646089297,33.327665222193104,3.805106240922497,2.373869029511704,2.0982186136383048,2.739995287347353,1.798088411593306,2.928390391772511,56.30942786945238,7.672586828035508,12.457566176998563,5.882602825854203,11.81151179605776,39.04574646089297,0.499314114298816,0.2525022003018582,5.7204921127532256,19.048369227487665,60.84539437294006,52.0,676.0,347.9336835994654,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
23,38,33.46495477484856,3.807109404234784,2.371810273700417,1.6588539686564792,1.5096544935761649,1.56084456872831,2.390222943119292,55.87271315394294,7.778512034331163,3.473032782475437,5.202092382819503,8.098705119714484,34.5888625941702,33.464953651802375,3.807110573520387,2.371807502628207,1.6588539686564792,1.5096544935761649,1.56084456872831,2.390222943119292,55.87270468577466,7.778528463344642,3.473032782475437,5.202092382819503,8.098705119714484,34.5888625941702,0.5090879424457482,0.2144926632323463,5.817686711335165,18.898186084853712,51.53559827804565,45.0,585.0,535.8245703193793,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,76,33.603896494428,3.8121454405232766,2.359767046710176,1.769562631468136,2.164357397136903,2.488896394858444,2.985484451552815,55.31057316982373,7.972605609005523,8.133500183801372,13.204260985959856,9.61899049629615,20.09342423453404,33.60388008939122,3.8121476706812087,2.3597702360469577,1.769562631468136,2.164357397136903,2.488896394858444,2.985484451552815,55.31061927163771,7.972577714765904,8.133500183801372,13.204260985959856,9.61899049629615,20.09342423453404,0.3209040965079304,0.1809906594657537,5.636370001343236,19.230015855352637,103.03730535507202,89.0,1157.0,66.07934126023366,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
21,74,33.743175812332126,3.8180361909403686,2.3470562443711422,2.5946658332772508,2.496502098721058,2.3276489818760298,2.671304563328778,54.601971070106416,8.210792666343952,6.229752850313404,2.264952588816686,11.117356633071834,33.012657196406,33.74317290115948,3.8180368565836393,2.347056005306805,2.5946658332772508,2.496502098721058,2.3276489818760298,2.671304563328778,54.60198740036543,8.210790180590259,6.229752850313404,2.264952588816686,11.117356633071834,33.012657196406,0.2006317268272588,0.1599620247933864,5.657610661332001,19.24297041609524,122.35497879981996,106.0,1378.0,35.02193800515143,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,23,33.79094774762551,3.817937080404264,2.349321713560061,1.528708623008942,2.253973710808694,1.572029780856283,3.957725457736143,54.28434024300323,8.271323155498955,14.032027564364826,11.969228549221658,11.96193483381254,31.27235996725308,33.79094764617365,3.81793770426549,2.3493223980996,1.528708623008942,2.253973710808694,1.572029780856283,3.957725457736143,54.28434913226081,8.271317434213383,14.032027564364826,11.969228549221658,11.96193483381254,31.27235996725308,0.2215895220423931,0.152991685586825,5.709546199450972,19.21153823584194,54.377556800842285,48.0,624.0,82.98372232543441,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
