Run,Iter,Min Obj,Param Min,Min Obj Cum.,Param Cum.,jac evals,Termination,Run Time
17,393,4620376.946523686,"[ 3.19978632  3.9999999   1.5         3.07877854  2.78171845  2.
 58.56038731 75.         10.         29.94442006 50.         47.16965237]",4620376.797360122,"[ 3.19978642  4.          1.5         3.07877854  2.78171845  2.
 58.56038731 75.         10.         29.94442006 50.         47.16965237]",31,0,248.05039429664612
10,358,4620377.008858619,"[ 3.19980066  4.          1.5         3.07877467  2.78170232  2.0000001
 58.56002848 75.         10.         29.94485247 50.         47.16941716]",4620376.797381424,"[ 3.19980066  4.          1.5         3.07877467  2.78170242  2.
 58.56002848 75.         10.         29.94485247 50.         47.16941716]",28,0,237.71655750274658
41,470,4620376.797384999,"[ 3.19978571  4.          1.5         3.07876945  2.78169339  2.
 58.56045558 75.         10.         29.94419565 50.         47.1696595 ]",4620376.797384999,"[ 3.19978571  4.          1.5         3.07876945  2.78169339  2.
 58.56045558 75.         10.         29.94419565 50.         47.1696595 ]",37,0,297.2404065132141
127,383,4620376.797390206,"[ 3.19979031  4.          1.5         3.07878681  2.78168851  2.
 58.56027723 75.         10.         29.94513078 50.         47.16949856]",4620376.797390206,"[ 3.19979031  4.          1.5         3.07878681  2.78168851  2.
 58.56027723 75.         10.         29.94513078 50.         47.16949856]",30,0,227.98684191703796
14,419,4620376.946575664,"[ 3.19978893  3.9999999   1.5         3.07877949  2.78169208  2.
 58.56021887 75.         10.         29.94486435 50.         47.1696844 ]",4620376.797409402,"[ 3.19978903  4.          1.5         3.07877949  2.78169208  2.
 58.56021887 75.         10.         29.94486435 50.         47.1696844 ]",33,0,271.0993559360504
138,445,4620376.946593958,"[ 3.19978365  3.9999999   1.5         3.07877851  2.78171092  2.
 58.56039855 75.         10.         29.94474169 50.         47.16975365]",4620376.797424299,"[ 3.19978375  4.          1.5         3.07877851  2.78171092  2.
 58.56039855 75.         10.         29.94474169 50.         47.16975365]",35,0,267.0350081920624
196,435,4620376.797432005,"[ 3.19978995  4.          1.5         3.07879179  2.78169335  2.
 58.56034926 75.         10.         29.94526549 50.         47.16957984]",4620376.797432005,"[ 3.19978995  4.          1.5         3.07879179  2.78169335  2.
 58.56034926 75.         10.         29.94526549 50.         47.16957984]",34,0,331.32429027557373
20,442,4620376.797436678,"[ 3.19979845  4.          1.5         3.07876753  2.78170882  2.
 58.56007688 75.         10.         29.94412108 50.         47.16945038]",4620376.797436678,"[ 3.19979845  4.          1.5         3.07876753  2.78170882  2.
 58.56007688 75.         10.         29.94412108 50.         47.16945038]",34,0,273.0429949760437
156,457,4620376.797442771,"[ 3.19978683  4.          1.5         3.07877387  2.78169865  2.
 58.56030726 75.         10.         29.94420651 50.         47.16969903]",4620376.797442771,"[ 3.19978683  4.          1.5         3.07877387  2.78169865  2.
 58.56030726 75.         10.         29.94420651 50.         47.16969903]",36,0,273.5266013145447
106,406,4620376.94661607,"[ 3.19979901  3.9999999   1.5         3.07877109  2.78170313  2.
 58.55985147 75.         10.         29.94466951 50.         47.16955208]",4620376.797448163,"[ 3.19979911  4.          1.5         3.07877109  2.78170313  2.
 58.55985147 75.         10.         29.94466951 50.         47.16955208]",32,0,241.24103546142578
47,436,4620377.00893156,"[ 3.19979405  4.          1.5         3.07878218  2.78168855  2.0000001
 58.56039329 75.         10.         29.94489816 50.         47.16943751]",4620376.79745488,"[ 3.19979405  4.          1.5         3.07878218  2.78168865  2.
 58.56039329 75.         10.         29.94489816 50.         47.16943751]",34,0,276.18931436538696
109,315,4620376.946632611,"[ 3.19978033  3.9999999   1.5         3.07877392  2.78171701  2.
 58.560621   75.         10.         29.94437597 50.         47.16972768]",4620376.797468273,"[ 3.19978043  4.          1.5         3.07877392  2.78171701  2.
 58.560621   75.         10.         29.94437597 50.         47.16972768]",25,0,188.47469115257263
179,442,4620376.797468596,"[ 3.19980207  4.          1.5         3.07877436  2.78171362  2.
 58.5600593  75.         10.         29.94462194 50.         47.16945289]",4620376.797468596,"[ 3.19980207  4.          1.5         3.07877436  2.78171362  2.
 58.5600593  75.         10.         29.94462194 50.         47.16945289]",34,0,258.7796196937561
145,507,4620376.7974699475,"[ 3.19979407  4.          1.5         3.07877236  2.78169655  2.
 58.56033052 75.         10.         29.9446611  50.         47.16933214]",4620376.7974699475,"[ 3.19979407  4.          1.5         3.07877236  2.78169655  2.
 58.56033052 75.         10.         29.9446611  50.         47.16933214]",39,0,295.8556025028229
174,445,4620376.946652077,"[ 3.19978632  3.9999999   1.5         3.0787701   2.78173646  2.
 58.56036473 75.         10.         29.94425981 50.         47.16965752]",4620376.79748632,"[ 3.19978642  4.          1.5         3.0787701   2.78173646  2.
 58.56036473 75.         10.         29.94425981 50.         47.16965752]",35,0,265.53934144973755
54,390,4620376.797509254,"[ 3.19978713  4.          1.5         3.07878875  2.78168532  2.
 58.5604597  75.         10.         29.94499014 50.         47.16948436]",4620376.797509254,"[ 3.19978713  4.          1.5         3.07878875  2.78168532  2.
 58.5604597  75.         10.         29.94499014 50.         47.16948436]",30,0,242.8711085319519
57,410,4620377.008986395,"[ 3.19978041  4.          1.5         3.07877428  2.78172159  2.0000001
 58.56075508 75.         10.         29.94432724 50.         47.16962007]",4620376.797512101,"[ 3.19978041  4.          1.5         3.07877438  2.78172159  2.
 58.56075508 75.         10.         29.94432724 50.         47.16962007]",32,0,258.63019704818726
182,392,4620376.797514524,"[ 3.19978242  4.          1.5         3.0787793   2.78173066  2.
 58.56051205 75.         10.         29.94462308 50.         47.16974607]",4620376.797514524,"[ 3.19978242  4.          1.5         3.0787793   2.78173066  2.
 58.56051205 75.         10.         29.94462308 50.         47.16974607]",31,0,236.99607181549072
159,416,4620376.797516362,"[ 3.19979241  4.          1.5         3.07877005  2.78167785  2.
 58.56025374 75.         10.         29.94436009 50.         47.16942021]",4620376.797516362,"[ 3.19979241  4.          1.5         3.07877005  2.78167785  2.
 58.56025374 75.         10.         29.94436009 50.         47.16942021]",32,0,242.68378686904907
21,390,4620376.797542258,"[ 3.19980249  4.          1.5         3.0787746   2.781706    2.
 58.56007913 75.         10.         29.94485125 50.         47.16933287]",4620376.797542258,"[ 3.19980249  4.          1.5         3.0787746   2.781706    2.
 58.56007913 75.         10.         29.94485125 50.         47.16933287]",30,0,241.069726228714
7,429,4620376.797547241,"[ 3.19980258  4.          1.5         3.07877451  2.78170176  2.
 58.55994069 75.         10.         29.94476201 50.         47.1693413 ]",4620376.797547241,"[ 3.19980258  4.          1.5         3.07877451  2.78170176  2.
 58.55994069 75.         10.         29.94476201 50.         47.1693413 ]",33,0,281.09365224838257
146,429,4620376.797549724,"[ 3.19978342  4.          1.5         3.0787777   2.78170695  2.
 58.56068759 75.         10.         29.94454366 50.         47.16939868]",4620376.797549724,"[ 3.19978342  4.          1.5         3.0787777   2.78170695  2.
 58.56068759 75.         10.         29.94454366 50.         47.16939868]",33,0,250.7334291934967
193,379,4620376.79755335,"[ 3.19979889  4.          1.5         3.07877864  2.78168039  2.
 58.55996723 75.         10.         29.94503955 50.         47.16940867]",4620376.79755335,"[ 3.19979889  4.          1.5         3.07877864  2.78168039  2.
 58.55996723 75.         10.         29.94503955 50.         47.16940867]",30,0,292.74491024017334
125,494,4620376.797553513,"[ 3.19980322  4.          1.5         3.0787802   2.78169499  2.
 58.55983582 75.         10.         29.94525612 50.         47.16939443]",4620376.797553513,"[ 3.19980322  4.          1.5         3.0787802   2.78169499  2.
 58.55983582 75.         10.         29.94525612 50.         47.16939443]",38,0,287.480938911438
