sigma_C1,sigma_C2,sigma_F1,sigma_H1,epsilon_C1,epsilon_C2,epsilon_F1,epsilon_H1,temperature,density
0.3015376673031691,0.30485894435663,0.3679357577518407,0.2303226668832581,0.5528263456158682,0.5657771391151891,0.2844814083748945,0.0575683093905414,300,734.1328264041802
0.3015376673031691,0.30485894435663,0.3679357577518407,0.2303226668832581,0.5528263456158682,0.5657771391151891,0.2844814083748945,0.0575683093905414,240,894.9857615047288
0.3015376673031691,0.30485894435663,0.3679357577518407,0.2303226668832581,0.5528263456158682,0.5657771391151891,0.2844814083748945,0.0575683093905414,280,795.1255956420516
0.3015376673031691,0.30485894435663,0.3679357577518407,0.2303226668832581,0.5528263456158682,0.5657771391151891,0.2844814083748945,0.0575683093905414,320,654.037998124871
0.3020279582721906,0.32614151272321,0.2840617852129464,0.2626605555498298,0.520023384195508,0.4535716205952629,0.2679688085528042,0.0454228367508364,320,86.96272405100846
0.3020279582721906,0.32614151272321,0.2840617852129464,0.2626605555498298,0.520023384195508,0.4535716205952629,0.2679688085528042,0.0454228367508364,240,1134.5805378909497
0.3020279582721906,0.32614151272321,0.2840617852129464,0.2626605555498298,0.520023384195508,0.4535716205952629,0.2679688085528042,0.0454228367508364,260,1055.9019537712438
0.3020279582721906,0.32614151272321,0.2840617852129464,0.2626605555498298,0.520023384195508,0.4535716205952629,0.2679688085528042,0.0454228367508364,300,397.3511342571728
0.3020279582721906,0.32614151272321,0.2840617852129464,0.2626605555498298,0.520023384195508,0.4535716205952629,0.2679688085528042,0.0454228367508364,280,954.3577024900272
0.3029296373119778,0.3187181372946206,0.3458006438358078,0.1987156488460978,0.5220590683723136,0.4052838001195195,0.208583738716636,0.0228068713779427,280,28.844504474512068
0.3029296373119778,0.3187181372946206,0.3458006438358078,0.1987156488460978,0.5220590683723136,0.4052838001195195,0.208583738716636,0.0228068713779427,300,50.54705650047156
0.3029296373119778,0.3187181372946206,0.3458006438358078,0.1987156488460978,0.5220590683723136,0.4052838001195195,0.208583738716636,0.0228068713779427,240,843.5445510774134
0.3029296373119778,0.3187181372946206,0.3458006438358078,0.1987156488460978,0.5220590683723136,0.4052838001195195,0.208583738716636,0.0228068713779427,260,669.7605447817576
0.3029296373119778,0.3187181372946206,0.3458006438358078,0.1987156488460978,0.5220590683723136,0.4052838001195195,0.208583738716636,0.0228068713779427,320,83.26487292090715
0.3031321369950601,0.301490728640014,0.2061886800893626,0.1895215209045931,0.2668717488847818,0.4077967442298288,0.1970193644803769,0.0613454791111464,240,1770.4443822514097
0.3031321369950601,0.301490728640014,0.2061886800893626,0.1895215209045931,0.2668717488847818,0.4077967442298288,0.1970193644803769,0.0613454791111464,320,85.7000148502299
0.3031321369950601,0.301490728640014,0.2061886800893626,0.1895215209045931,0.2668717488847818,0.4077967442298288,0.1970193644803769,0.0613454791111464,280,1406.52862811212
0.3031321369950601,0.301490728640014,0.2061886800893626,0.1895215209045931,0.2668717488847818,0.4077967442298288,0.1970193644803769,0.0613454791111464,300,50.98596762426239
0.3031321369950601,0.301490728640014,0.2061886800893626,0.1895215209045931,0.2668717488847818,0.4077967442298288,0.1970193644803769,0.0613454791111464,260,1614.420551954303
0.3035553408293046,0.3895570318878031,0.2020218104926426,0.232895660283824,0.2604344586794783,0.1764179489152376,0.1377774217326374,0.0507452420436937,260,15.603713498604828
0.3035553408293046,0.3895570318878031,0.2020218104926426,0.232895660283824,0.2604344586794783,0.1764179489152376,0.1377774217326374,0.0507452420436937,300,49.33679442403444
0.3035553408293046,0.3895570318878031,0.2020218104926426,0.232895660283824,0.2604344586794783,0.1764179489152376,0.1377774217326374,0.0507452420436937,280,29.377000509799814
0.3035553408293046,0.3895570318878031,0.2020218104926426,0.232895660283824,0.2604344586794783,0.1764179489152376,0.1377774217326374,0.0507452420436937,240,7.223672558663648
0.3035553408293046,0.3895570318878031,0.2020218104926426,0.232895660283824,0.2604344586794783,0.1764179489152376,0.1377774217326374,0.0507452420436937,320,78.57163252585116
0.304047965722982,0.3171193759275959,0.3047245552332331,0.1662257267419913,0.3044805538550891,0.2760986556476658,0.3184688432653681,0.0531192189538181,260,1038.4528043264806
0.304047965722982,0.3171193759275959,0.3047245552332331,0.1662257267419913,0.3044805538550891,0.2760986556476658,0.3184688432653681,0.0531192189538181,240,1139.1232005443896
