Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_1_min,sigma_F_2_min,sigma_F_3_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_1_min,epsilon_F_2_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_1_cum,sigma_F_2_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_1_cum,epsilon_F_2_cum,epsilon_F_3_cum,epsilon_F_4_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
5,125,120.39078456628826,3.326882995636896,3.2433914404182436,3.795410194069175,3.8989785174141423,2.8998242669598806,3.0963207262304007,2.788698637262102,2.474053960486055,3.8067590411245074,2.883467467270062,2.0057406540623175,50.11441938534706,31.23191861518626,46.09609274919504,67.58623645520036,33.222534400162495,63.71337482036973,7.83529260467378,15.553743499629471,47.530303181031655,27.996505076677906,49.906299765801826,120.39077884104913,3.326882995636896,3.2433914404182436,3.79543232811379,3.8989785174141423,2.8998242669598806,3.0963209021265223,2.7886936464734964,2.474053960486055,3.8067590411245074,2.8834740675452246,2.0057406540623175,50.11441938534706,31.23191861518626,46.09597029897973,67.58623645520036,33.222534400162495,63.71332075963174,7.835258808699962,15.553743499629471,47.530303181031655,27.996361006091924,49.906299765801826,5.043503151317587,3.608168914323667,9.02885242028357,18.630420294019768,543.9548635482788,151.0,3473.0,390.992734701128,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,100,109.82498464703934,2.519396786596706,2.514138597644293,3.4291407991152267,2.690594923182163,3.5931773560145746,3.457860856282426,1.9852104830564778,3.980943567247681,2.6004966790678,3.2249981589778316,3.8026168726985476,45.201359627679274,73.35812410558036,54.95844106296788,74.60434659968115,45.49460226929186,51.04380858313628,6.553844641488685,27.44968098443584,15.917649855373066,25.25803757034125,41.09730174476237,109.82498080363936,2.519396786596706,2.514138597644293,3.4291407725818206,2.690594923182163,3.5931773560145746,3.4578609495854664,1.985210438546143,3.980943567247681,2.6004966790678,3.224998048769147,3.8026168726985476,45.201359627679274,73.35812410558036,54.95843885181267,74.60434659968115,45.49460226929186,51.04380969602346,6.553848212421805,27.44968098443584,15.917649855373066,25.25803285473296,41.09730174476237,0.05875890434719087,2.508333296328889,9.878989595750543,19.8044900016779,402.51943349838257,107.0,2461.0,355.16163069544365,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,134,99.75452383854196,2.504651489140647,3.4876517081501857,3.299443065396879,3.162717854546515,3.940039978176624,3.6694687429165422,1.743330375375611,2.9875394285374597,3.239911436762759,3.2977364185474283,2.3135827892921683,11.207453141531621,14.551439341749454,59.48981412925688,49.41141500746649,46.9753434106213,49.784693124598114,7.723746754595423,35.291082673602894,28.304941041824268,20.412525868453162,41.08670508172758,99.74644876108086,2.504651489140647,3.4876517081501857,3.2982226995353465,3.162717854546515,3.940039978176624,3.671388001193352,1.7452638090252313,2.9875394285374597,3.239911436762759,3.298388495300941,2.3135827892921683,11.207453141531621,14.551439341749454,59.45423169536386,49.41141500746649,46.9753434106213,49.80209589998638,7.6772624480152984,35.291082673602894,28.304941041824268,20.41564154066388,41.08670508172758,0.05160541467525623,0.649573789864541,9.909211374365444,13.798182618760542,579.7956149578094,149.0,3427.0,1204.5309885424992,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,130,124.28694906677413,2.2890910802493196,3.5030556342704875,3.540687924671942,3.0387036487320658,3.5705920564432376,3.383022787537313,2.636136506864663,3.7458447528002212,3.689419215204139,3.022674969762198,3.7332165483330257,71.73738943798574,63.7164548459072,54.42765307124065,16.418321118322645,52.334781602164426,50.1781367662052,8.720179117997313,42.98653416076098,16.2099926955072,24.70436615119246,40.610501025883444,124.28694135162687,2.2890910802493196,3.5030556342704875,3.5406876602335697,3.0387036487320658,3.5705920564432376,3.3830228775978983,2.63613609005324,3.7458447528002212,3.689419215204139,3.0226750349555305,3.7332165483330257,71.73738943798574,63.7164548459072,54.42764506846161,16.418321118322645,52.334781602164426,50.1781345535783,8.720181882582729,42.98653416076098,16.2099926955072,24.704368875128573,40.610501025883444,2.9957717225881906,1.547396427386137,4.679571890144963,29.247787838039848,530.588535785675,158.0,3634.0,189.37738697930544,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,163,136.53250706019185,2.3523925111501103,2.664127148733674,3.75416658226515,3.6189813842531637,2.6894733053665867,3.451497999203635,2.517213226080657,3.757663968823688,3.6894688907844433,3.0131691927669193,2.9197605316336137,45.51254304132427,61.90923342488258,48.199610537622846,41.866478970295304,48.94216999698211,44.575854776536126,8.718438279269465,30.17867221463104,43.25761851096945,23.893570453908193,46.251104798380304,136.53244831168547,2.3523925111501103,2.664127148733674,3.754165949392055,3.6189813842531637,2.6894733053665867,3.45149634922393,2.5172109528609936,3.757663968823688,3.6894688907844433,3.0131694759700967,2.9197605316336137,45.51254304132427,61.90923342488258,48.19962982862222,41.866478970295304,48.94216999698211,44.57587953763665,8.71841806594428,30.17867221463104,43.25761851096945,23.893627086102672,46.251104798380304,3.6061202119269664,3.7743317340423217,4.58014719788378,20.844975295197976,718.3438880443573,184.0,4232.0,1994.757331912248,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,144,88.69548140231632,2.834044009405148,3.440648986884316,3.334118618814774,2.604665145263679,2.293511781634226,3.8172971739570967,1.7161680570872226,2.691121454086095,2.79353494846134,3.2778408274436295,2.8383890288065894,54.53926752578938,23.289396232548636,56.05569673378133,11.780193557865202,53.580388161596154,45.51060790910373,8.277563988634213,19.91354285083318,21.93355211797076,19.164268645134836,48.889155150178915,88.6954790222587,2.834044009405148,3.440648986884316,3.334117095507305,2.604665145263679,2.293511781634226,3.817296208857875,1.7161641948473714,2.691121454086095,2.79353494846134,3.277841578785945,2.8383890288065894,54.53926752578938,23.289396232548636,56.055764266423274,11.780193557865202,53.580388161596154,45.51070550391403,8.27761545793962,19.91354285083318,21.93355211797076,19.164225555233315,48.889155150178915,0.3118699958427599,0.3191044873258801,8.70903520718762,13.316836850435909,546.5575523376465,150.0,3450.0,1104.7267430500044,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,72,105.20320294103334,3.12206043851142,2.037294578745886,3.4763079043991763,2.4659485476820406,3.614210391237558,3.8210272245961967,2.312981981608898,3.4942432854743686,3.1124804679808378,3.1295338402370105,2.119835379024423,17.887324623147933,12.895872105409515,32.76523218256313,24.67110700951056,56.344283724873996,56.04930979702944,3.30887304440585,17.519099789132035,48.85467155000953,25.346788101823847,22.115263213134668,105.20319845367486,3.12206043851142,2.037294578745886,3.476311536649075,2.4659485476820406,3.614210391237558,3.8210254585461905,2.3129779547323928,3.4942432854743686,3.1124804679808378,3.1295339030336904,2.119835379024423,17.887324623147933,12.895872105409515,32.76522251980156,24.67110700951056,56.344283724873996,56.04930599805856,3.3088533322416818,17.519099789132035,48.85467155000953,25.34681691676634,22.115263213134668,0.2250833606465152,0.4693368932766853,10.450680269703884,15.399127549143643,303.106684923172,86.0,1978.0,191.82335909050536,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,53,108.8120697390894,3.327589290439578,3.029778224116617,3.475694399501908,3.173110081003986,3.8068038305757668,3.4420791773550885,2.1275178430902923,3.614782577419047,2.795353673971067,3.1961747468355655,3.8550171607920674,32.604780883457934,58.802786703850124,51.94704397192734,67.41489592837766,50.53869345861459,55.78134769648312,7.19371184650891,24.447476211775914,46.35601763686235,24.06801922329323,48.7694016501935,108.8120062564673,3.327589290439578,3.029778224116617,3.475693321340309,3.173110081003986,3.8068038305757668,3.442083483408887,2.1275212201283007,3.614782577419047,2.795353673971067,3.1961750688308683,3.8550171607920674,32.604780883457934,58.802786703850124,51.947058467181364,67.41489592837766,50.53869345861459,55.781362661124454,7.1936698363380565,24.447476211775914,46.35601763686235,24.06799693010319,48.7694016501935,0.15468188136278863,1.1187478726468758,8.866644929729109,22.123786204545127,224.50097393989563,59.0,1357.0,845.2975219824141,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,70,125.43219208330058,3.1850237375315933,2.6245396754038337,3.465848866298096,3.8192710499031133,2.514236587564392,3.327457618865081,2.235457582074358,2.999168341357772,3.457171335949192,3.1681094219708985,2.4960671167544612,65.35867187086387,37.03016668738928,53.12516796614647,25.188299050551258,16.627871862676837,50.9204100166362,5.301548268686631,20.343507543260714,36.76321811091454,30.2119657861905,37.89480714397606,125.43219178001888,3.1850237375315933,2.6245396754038337,3.4658489152010405,3.8192710499031133,2.514236587564392,3.327457607567271,2.2354575791452698,2.999168341357772,3.457171335949192,3.1681094108047803,2.4960671167544612,65.35867187086387,37.03016668738928,53.125168161258884,25.188299050551258,16.627871862676837,50.92041030679047,5.301548914290347,20.343507543260714,36.76321811091454,30.211964456598736,37.89480714397606,1.5174078736867114,4.491276977220387,10.339883787583684,22.91927132359085,276.21611857414246,77.0,1771.0,3622.395310418332,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,144,93.14995629089566,3.2335567140033152,3.8980326413752326,3.32852588784617,3.1133063763903124,3.831212699532549,3.766520590041293,1.7331505768467252,2.9719813341938197,3.208620965839946,3.2864429936120847,3.8523628534129073,69.7176733161844,35.666914840031076,56.924223269791284,21.307118334230186,18.21141876357643,48.11607202945295,8.310328538912138,15.75336818459693,48.17895739261884,19.05204165527986,15.525664325974283,93.14986285582556,3.2335567140033152,3.8980326413752326,3.328524925861412,3.1133063763903124,3.831212699532549,3.7665202474310004,1.7331483061133268,2.9719813341938197,3.208620965839946,3.286444646897076,3.8523628534129073,69.7176733161844,35.666914840031076,56.92408245471355,21.307118334230186,18.21141876357643,48.1160871139961,8.310357898596335,15.75336818459693,48.17895739261884,19.05206831767196,15.525664325974283,0.2151148198074098,0.31095265003293615,8.742194601562954,13.157606374485082,602.3791794776917,162.0,3726.0,489.24131805666576,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
