Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_x_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_x_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_x_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_x_cum,epsilon_F_4_cum,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
20,99,102.98714655462331,3.6528139952586827,3.7082308876730776,2.1974868036406963,3.3026086646819817,3.653693429654501,3.715126273317391,2.0852865662180293,2.9063571842756537,3.5404774691099594,57.56235904806927,26.880395564392956,26.70950442343954,51.099715632958315,28.788225675126718,29.994668830347848,3.9212181496515557,32.014035282701194,49.66651242683443,102.98714649627885,3.6528139952586827,3.7082308876730776,2.1974868036406963,3.3026086646819817,3.6536934729077846,3.715126343500599,2.0852867278815452,2.906357163660473,3.5404774691099594,57.56235904806927,26.880395564392956,26.70950442343954,51.099715632958315,28.788228650942514,29.994670986204053,3.921215419397386,32.01403295980603,49.66651242683443,0.9462659020597782,3.9157076868185734,7.358979980962085,10.963317632920825,454.24049639701843,108.0,2052.0,62.02170707878142,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,107,117.21502468911162,3.239911436762759,3.6579617991003572,2.3135827892921683,2.037152404354819,3.433336877176197,3.9198809473462104,2.144993482413751,2.936337234279886,2.634724818644321,74.26005003680919,47.68343925097681,34.709176220530786,45.8116342426633,35.77155969719853,40.37327699478736,3.8862981795056633,25.322852683719614,27.95294692699372,117.21269853761406,3.239911436762759,3.6579617991003572,2.3135827892921683,2.037152404354819,3.4337282619594545,3.9196475544802034,2.1446738943744497,2.9363354569474733,2.634724818644321,74.26005003680919,47.68343925097681,34.709176220530786,45.8116342426633,35.77684362059161,40.34356067246684,3.8866039651549587,25.330746576846273,27.95294692699372,0.3001768419102121,1.8513217199331926,6.83844213390755,5.121346334227363,217.50893306732178,114.0,2166.0,620.9546140865086,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,114,102.98687266490182,3.3817938350338475,3.994645700902961,2.344681016690657,2.2742714992577553,3.654113701918459,3.7151801628816123,2.084677105653652,2.9064177439609464,3.5077523769224928,69.99659481052143,56.24910931085068,18.07761252819071,11.292208699586714,28.792635082291817,29.99635435301695,3.9121585995936687,32.007722405868265,33.85908725195785,102.98687204852419,3.3817938350338475,3.994645700902961,2.344681016690657,2.2742714992577553,3.6541168761815475,3.715181597764875,2.084675275742201,2.906417276322471,3.5077523769224928,69.99659481052143,56.24910931085068,18.07761252819071,11.292208699586714,28.792597586635623,29.996323400727608,3.9121260177407975,32.0077095006601,33.85908725195785,0.9352605218494833,3.934583951347171,7.337508486311714,10.928194203283653,238.4853231906891,122.0,2318.0,154.85140776267875,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,75,117.13492382145992,2.834044009405148,3.440648986884316,2.0002287496346898,2.604665145263679,3.4348589609296596,3.9173708479977662,2.1420788075512482,2.937025865860389,2.79353494846134,45.023087710218206,37.24764343621417,54.53926752578938,23.289396232548636,35.73391815361629,40.637549901456204,3.912440258366468,25.249463393775603,34.55414399560131,117.13492379687668,2.834044009405148,3.440648986884316,2.0002287496346898,2.604665145263679,3.43485899082953,3.9173708927287483,2.142078799363089,2.93702585444384,2.79353494846134,45.023087710218206,37.24764343621417,54.53926752578938,23.289396232548636,35.733917914082646,40.63754874839628,3.9124408259379337,25.24946277385196,34.55414399560131,0.2980771801108854,1.9960742833900023,6.846123859199816,5.085015040442128,317.09912300109863,81.0,1539.0,51.438458122390976,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,80,117.17726421151902,2.278552694501517,3.614782577419047,2.795353673971067,2.330708394233865,3.4353264317277885,3.9156433961513204,2.1386648710803398,2.937126009168951,3.7666121824116194,50.53869345861459,58.81125821177693,32.67839222855977,27.5453129647267,35.77153068946779,40.45794344046448,3.881959049143993,25.326264105167095,36.759350207319265,117.17726264501913,2.278552694501517,3.614782577419047,2.795353673971067,2.330708394233865,3.435325590632199,3.9156436194508877,2.1386634066188064,2.937126227492832,3.7666121824116194,50.53869345861459,58.81125821177693,32.67839222855977,27.5453129647267,35.77150983607635,40.45798872345175,3.8819806095283735,25.32625290245246,36.759350207319265,0.3032285298543719,1.8737206003026932,6.739408020607863,5.1661453848483365,178.60695338249207,90.0,1710.0,404.89038102851055,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,100,117.12793382499409,2.980507045239855,3.1982206152917563,2.031066551101671,3.186962816393274,3.4355234121263614,3.9170789249915696,2.142243921480369,2.9368136481044838,3.1557144305690707,21.960663105785233,61.21540019865779,49.78202650792071,13.504102684793944,35.6779486811381,40.563272014977684,3.913755561435187,25.28765201454926,49.1865702160871,117.12793348721857,2.980507045239855,3.1982206152917563,2.031066551101671,3.186962816393274,3.4355239582326753,3.9170824763212413,2.1422500350462337,2.936817247997678,3.1557144305690707,21.960663105785233,61.21540019865779,49.78202650792071,13.504102684793944,35.677997267055495,40.563543736320874,3.913744501243784,25.287532946671977,49.1865702160871,0.29755877484542814,2.0024143459617396,6.830263318914549,5.107933396968947,464.16150546073914,110.0,2090.0,24.451194599875656,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,79,88.10127473923262,3.0317140339370594,2.9542819740995645,2.305343288186326,3.2436124634808303,3.095548150736305,3.3649322515617284,2.201672389385008,2.963316868175949,2.444098279599845,43.75786858379216,61.04424183440524,11.451477819467403,31.08355988220213,43.911267457317784,40.39115422990083,5.38833895279846,36.025456954288124,48.24320969737693,88.10127467254526,3.0317140339370594,2.9542819740995645,2.305343288186326,3.2436124634808303,3.0955476043097767,3.364931712661665,2.2016717143364533,2.9633172123817433,2.444098279599845,43.75786858379216,61.04424183440524,11.451477819467403,31.08355988220213,43.91128385765209,40.39115216255112,5.388347889670602,36.02546647917171,48.24320969737693,0.33954616388603626,16.72358117557568,6.728677716364258,13.011805857188843,170.54129719734192,84.0,1596.0,28.52857269739764,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,101,117.15255788826438,3.1056439573715315,3.684061784719211,2.248346630239822,2.558367358022279,3.435999510940151,3.917812899420618,2.141984288023621,2.9365189709483768,3.6012653453612318,25.143327799666334,62.46183771522066,35.210941864171176,66.13022054636288,35.565892220650404,40.4941482086954,3.9087823872554583,25.32686548038195,19.24702095092581,117.15255714489231,3.1056439573715315,3.684061784719211,2.248346630239822,2.558367358022279,3.4359999996402046,3.91781191945233,2.1419837549585212,2.936519094478181,3.6012653453612318,25.143327799666334,62.46183771522066,35.210941864171176,66.13022054636288,35.565893379418036,40.49414321461958,3.908769339056119,25.32687849830439,19.24702095092581,0.29495849895120735,2.035717881392748,6.792195135079063,5.111691727138881,431.2965431213379,108.0,2052.0,87.54241051603162,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,66,125.76998193096738,2.6903441023104295,2.450079915628169,3.1850237375315933,2.6245396754038337,3.793592910403109,3.575503896622303,2.4044388646498045,2.909739931954432,2.3859254640382255,42.4729710941276,57.35806841834877,23.53263849657145,26.122181294520004,53.499020870803044,33.99030661233296,7.789203367542878,22.378068195691238,18.56885407990291,125.7699647369636,2.6903441023104295,2.450079915628169,3.1850237375315933,2.6245396754038337,3.793592986364348,3.575507282056635,2.4044405900508514,2.9097386260949953,2.3859254640382255,42.4729710941276,57.35806841834877,23.53263849657145,26.122181294520004,53.49906773110819,33.99003279956056,7.789216581825531,22.37808261167695,18.56885407990291,0.7701976114700563,4.194832127395542,15.238908745013958,4.803700637694287,149.8156235218048,75.0,1425.0,335.95424105160316,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,59,126.33949952185714,3.2335567140033152,3.8980326413752326,3.9003522384941594,3.1133063763903124,3.794580180917632,3.5728643645160423,2.402670025711808,2.9111092767709335,3.208620965839946,45.720614898056574,70.2017927359195,69.7176733161844,35.666914840031076,53.65071420494982,34.58917186273755,7.769227271157631,22.191790950388352,32.69817579869139,126.33948153088605,3.2335567140033152,3.8980326413752326,3.9003522384941594,3.1133063763903124,3.794578314575166,3.572865725565206,2.4026739522506904,2.911109684986392,3.208620965839946,45.720614898056574,70.2017927359195,69.7176733161844,35.666914840031076,53.650371806856235,34.58939455268477,7.769216185050585,22.191840723224647,32.69817579869139,0.7949461027108936,4.407368200084909,14.872897218027617,4.945480877119019,313.3749420642853,71.0,1349.0,194.90441424638067,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
