Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_x_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_x_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_x_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_x_cum,epsilon_F_4_cum,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
15,69,173.9809269613036,2.753160629491549,3.947567076716645,3.209432201948106,3.8627560816309083,3.1494230094162043,3.4481044411624144,2.1546637262705666,2.9046394503983466,3.50004352740532,65.79039936788776,59.08034225039922,55.373721149074704,59.45716927710343,30.974264794388528,37.47906000885448,2.9053600506367387,26.53143878911339,29.3783972472765,173.98084361250457,2.753160629491549,3.947567076716645,3.209432201948106,3.8627672519582257,3.1494230094162043,3.4481131249620582,2.154667652070717,2.904644875219591,3.50004352740532,65.79039936788776,59.08034225039922,55.373721149074704,59.45746585526225,30.974264794388528,37.47922479161788,2.905365479779183,26.53150793930809,29.3783972472765,0.9275384025210541,1.262684329432919,8.428823771934814,0.3470220063766355,328.84037494659424,99.0,1881.0,68.67906563637979,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
10,100,315.5271817215633,3.239911436762759,3.6579617991003572,2.3135827892921683,3.1360211395606057,2.1400442874384447,3.324621710173531,2.5733760530938685,2.9310034874461293,2.634724818644321,74.26005003680919,47.68343925097681,34.709176220530786,58.5424834006716,58.44673800892265,63.23796504675743,6.970337812891961,31.504152809428334,27.95294692699372,315.527181028076,3.239911436762759,3.6579617991003572,2.3135827892921683,3.1360219905765114,2.1400442874384447,3.3246213810415077,2.5733761448655255,2.931003165168597,2.634724818644321,74.26005003680919,47.68343925097681,34.709176220530786,58.54251137589976,58.44673800892265,63.23793046965331,6.970339137051041,31.50414395406885,27.95294692699372,4.057146229737639,10.772985413350717,8.51436234464855,6.725236594546165,373.33242201805115,113.0,2147.0,338.41669775290876,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,93,232.9870013803657,2.0891037570895232,2.2149882582121854,2.451418677215709,3.4911479666304412,3.1194339641082847,3.452687591462123,2.364589429570109,3.0064624820531565,3.1362009238398842,23.214060252964387,26.401173397071027,58.34868051488105,36.03818660497795,47.78833027276176,72.49605661114451,6.468285278517025,25.95327479036103,32.28193999940555,232.9870009623139,2.0891037570895232,2.2149882582121854,2.451418677215709,3.4911436530240794,3.1194339641082847,3.4526930041185864,2.3645859419488966,3.006466831981021,3.1362009238398842,23.214060252964387,26.401173397071027,58.34868051488105,36.03816860729143,47.78833027276176,72.49602522182343,6.468254472185864,25.95324958103936,32.28193999940555,0.16809098114250276,11.97678856857181,16.842243017150995,14.811822685208599,151.63955283164978,94.0,1786.0,44.69711342037481,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,39,317.9291012698505,3.144977034383212,3.466285050575022,3.0380232549281114,3.127650913731175,3.1377159814094306,3.333507918577259,2.566508536381364,2.938784346181813,2.7558483586561993,15.175695050386405,73.88311239247895,21.804835336499647,59.086617936175415,66.8725069221334,60.619433706395384,6.949471958113724,31.97989301264905,31.340800796715722,317.92910091755283,3.144977034383212,3.466285050575022,3.0380232549281114,3.127650707273708,3.1377159814094306,3.333508229409901,2.5665080279221195,2.938784432495499,2.7558483586561993,15.175695050386405,73.88311239247895,21.804835336499647,59.08659540874507,66.8725069221334,60.619431952603826,6.949463087465387,31.979895421890927,31.340800796715722,2.768963628412508,11.958036461883813,7.415491489701264,7.6211587873660065,74.60529518127441,44.0,836.0,218.46401989519495,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,75,264.2906675182772,3.2594350140431283,2.420348019829679,3.5055111074776275,3.425416456141948,2.5206301971570815,3.17121831118967,2.8047953226231686,2.8460866082877523,3.049340618247467,70.11251807595781,27.11429008166222,14.287470894461547,59.87971454969932,60.19157192031105,71.58696024526061,5.644092997392355,29.874941465067177,23.20267301424972,264.29066480625846,3.2594350140431283,2.420348019829679,3.5055111074776275,3.4254173241992545,2.5206301971570815,3.171216561025249,2.8047917364413486,2.8460891477184056,3.049340618247467,70.11251807595781,27.11429008166222,14.287470894461547,59.879646164364736,60.19157192031105,71.58691812555833,5.644114599962263,29.874966254687717,23.20267301424972,9.801992669613407,2.8101197791015364,8.322754391013186,5.406363986168678,169.5060122013092,101.0,1919.0,21.390176747490898,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,90,174.05647565869447,3.3817938350338475,3.994645700902961,2.344681016690657,3.0594823349380973,3.8651909260743267,3.9250131882719486,2.8909503746478378,2.8332548272254883,3.5077523769224928,69.99659481052143,56.24910931085068,18.07761252819071,71.6254176907206,11.703714147051755,30.706574298410427,3.203660703787807,36.015470320726614,33.85908725195785,174.05646452298637,3.3817938350338475,3.994645700902961,2.344681016690657,3.059483077675122,3.8651909260743267,3.925003495262136,2.890934456341028,2.8332617471297623,3.5077523769224928,69.99659481052143,56.24910931085068,18.07761252819071,71.62501947308103,11.703714147051755,30.70661763588145,3.2036662772605675,36.015521883467684,33.85908725195785,0.2312901839486436,2.1492516918482716,4.762356479176255,6.120273577535123,169.40434527397156,102.0,1938.0,22.328945732303048,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,53,300.76118024051453,3.373001855363167,3.6692513437947456,2.0365765546883834,3.1350687834400315,3.977722177812989,3.3868692433369345,2.532775500621029,2.982511349125494,2.206452013155284,39.11307920143384,69.05870770105123,29.084919644289172,61.604769508871456,18.45185718768805,46.906483871202006,6.8957204064248945,34.09185925334124,24.29413307802792,300.7611712091235,3.373001855363167,3.6692513437947456,2.0365765546883834,3.1350700605416417,3.977722177812989,3.386870171770947,2.532775111285019,2.982512451676185,2.206452013155284,39.11307920143384,69.05870770105123,29.084919644289172,61.60473760997538,18.45185718768805,46.90628544533162,6.895734611378262,34.0918816378605,24.29413307802792,0.2112842496982571,4.289179841173786,21.782945579503313,17.80503540919113,103.06801891326904,62.0,1178.0,131.6732214228617,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,64,264.2927944262992,2.22949194590675,3.8989785174141423,2.8998242669598806,3.425107392084634,2.8162736055225626,3.1713466526185616,2.8039585085442686,2.846464448335269,2.0057406540623175,50.11441938534706,31.23191861518626,44.258776646744614,59.87234602829421,33.222534400162495,71.57731728859424,5.645103076971612,29.87752708842344,47.530303181031655,264.2927709672189,2.22949194590675,3.8989785174141423,2.8998242669598806,3.42511065416875,2.8162736055225626,3.1713494386626544,2.8039579068528115,2.8464593148917317,2.0057406540623175,50.11441938534706,31.23191861518626,44.258776646744614,59.87194337785691,33.222534400162495,71.57750192559718,5.64507261664628,29.877428791568896,47.530303181031655,9.774519716196188,2.8122893763530765,8.233748338501076,5.427572501718886,119.17474246025085,72.0,1368.0,116.99340971667111,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,128,174.05641497292768,2.8029591669390808,2.6347678919165536,3.243838735840603,3.0595953151988367,3.9476041558545036,3.925012808952922,2.890860797788473,2.8332615846206406,2.686692479548846,61.84652225730683,67.19988875662308,68.74972712871418,71.6218621102235,27.56353703193426,30.701875900193794,3.2033212277111702,36.01537743914171,43.07563794016094,174.05641497292768,2.8029591669390808,2.6347678919165536,3.243838735840603,3.0595953151988367,3.9476041558545036,3.925012808952922,2.890860797788473,2.8332615846206406,2.686692479548846,61.84652225730683,67.19988875662308,68.74972712871418,71.6218621102235,27.56353703193426,30.701875900193794,3.2033212277111702,36.01537743914171,43.07563794016094,0.23182546891145292,2.1440792258645125,4.765787454453262,6.113434175132017,408.4582591056824,136.0,2584.0,24.658957278621546,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,88,232.98786632123065,3.0317140339370594,2.9542819740995645,2.305343288186326,3.4909376860558132,3.088020237627876,3.452869944200587,2.3643162472438455,3.006522327523837,2.444098279599845,43.75786858379216,61.04424183440524,11.451477819467403,36.01994907346566,66.73995446600725,72.47836100871035,6.468466246920265,25.95897378646023,48.24320969737693,232.98786286094267,3.0317140339370594,2.9542819740995645,2.305343288186326,3.4909334601568287,3.088020237627876,3.452875611282326,2.364327575440976,3.0065248737901786,2.444098279599845,43.75786858379216,61.04424183440524,11.451477819467403,36.01988051354358,66.73995446600725,72.47821396940488,6.468509092453085,25.95897381347676,48.24320969737693,0.17050914478532328,12.037982817501042,16.867760107513117,14.785061229201219,321.63994216918945,96.0,1824.0,59.797282174260594,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
