Run,Iter,Min Obj,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_12_min,sigma_F_3_min,sigma_F_4_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_12_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_12_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_12_cum,epsilon_F_3_cum,epsilon_F_4_cum,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
1,94,66.87850375257436,2.834044009405148,3.440648986884316,2.0002287496346898,3.5646764356461773,3.2720821766649646,1.8256448696027772,3.1640787870715807,2.8677095086937405,2.79353494846134,45.023087710218206,37.24764343621417,54.53926752578938,38.911085300497675,52.26394811857486,7.3587690993607895,31.627571962811015,27.321420234623197,34.55414399560131,66.87850222005969,2.834044009405148,3.440648986884316,2.0002287496346898,3.5646734190830514,3.2720810041821817,1.825643859198491,3.1640790451314005,2.8677104022238122,2.79353494846134,45.023087710218206,37.24764343621417,54.53926752578938,38.9110921490265,52.26402108640171,7.358772287215119,31.62772165960804,27.321358944074948,34.55414399560131,2.5045594454772413,8.42203921421131,10.893893979696829,4.333907381888978,188.7210488319397,101.0,1919.0,452.2055599964473,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,103,60.51870040739796,2.753160629491549,3.947567076716645,3.209432201948106,3.792466729779586,3.5624263448178572,2.372618345875617,2.7756153593292714,2.990638886640889,3.50004352740532,65.79039936788776,59.08034225039922,55.373721149074704,53.73431460223115,34.17187949527575,8.15769812160471,22.842013312151558,22.203349925234267,29.3783972472765,60.51869139657751,2.753160629491549,3.947567076716645,3.209432201948106,3.7924615677272087,3.562422732947862,2.3726028585369034,2.7756198685082065,2.9906363567669336,3.50004352740532,65.79039936788776,59.08034225039922,55.373721149074704,53.7342534243997,34.172058492848315,8.157722853783326,22.84185023531743,22.203010005333116,29.3783972472765,0.689361050198136,4.258596579841754,14.576846441214926,5.0059486228149135,441.3162136077881,126.0,2394.0,78.50189181987743,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,66,56.058132973671235,3.0317140339370594,2.9542819740995645,2.305343288186326,3.4512017180061987,3.446963733583508,2.1222621052017763,3.0108891323236167,2.9084793917733527,2.444098279599845,43.75786858379216,61.04424183440524,11.451477819467403,27.17246822428301,51.72655432947098,2.504333132359667,29.480240272146055,34.63708357308271,48.24320969737693,56.05813091361557,3.0317140339370594,2.9542819740995645,2.305343288186326,3.4511986081819708,3.446964713558195,2.1222633966988766,3.0108895784869514,2.9084793305587886,2.444098279599845,43.75786858379216,61.04424183440524,11.451477819467403,27.17246323308641,51.72661738354093,2.5043118509687567,29.48016882315713,34.637163968091,48.24320969737693,0.9365274180927534,4.796196130743792,4.999675194685172,15.766887606149194,144.21119379997253,78.0,1482.0,31.95445421440625,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,97,66.84645553670708,3.2594350140431283,2.420348019829679,3.5055111074776275,3.565854429354704,3.271300279069594,1.8267915741786558,3.1662723275536226,2.8669818701426024,3.049340618247467,70.11251807595781,27.11429008166222,14.287470894461547,39.09087992003181,52.63141555482073,7.452179081153816,31.338047845760745,27.296767307085048,23.20267301424972,66.84645549027329,3.2594350140431283,2.420348019829679,3.5055111074776275,3.565854589187291,3.271300256715017,1.8267914236622087,3.166272206255658,2.8669819267768415,3.049340618247467,70.11251807595781,27.11429008166222,14.287470894461547,39.090882417556074,52.63141762924212,7.452178333733227,31.338049476203757,27.296760500271905,23.20267301424972,2.521132353500284,8.727397175045866,11.191644796173595,4.2181175364232555,198.80466890335083,104.0,1976.0,208.12988720135004,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,113,58.33895779371116,3.373001855363167,3.6692513437947456,2.0365765546883834,3.499682068136234,3.9052894031407144,2.028037312027725,2.6393342009472036,3.134588145076842,2.206452013155284,39.11307920143384,69.05870770105123,29.084919644289172,46.31400367255325,31.651645553248784,3.45792045709681,33.63167037914432,20.8339510182427,24.29413307802792,58.33895686201067,3.373001855363167,3.6692513437947456,2.0365765546883834,3.4996809251679437,3.9052903407127673,2.0280357419265123,2.6393345111933564,3.13458835997835,2.206452013155284,39.11307920143384,69.05870770105123,29.084919644289172,46.31401798039063,31.65164522652224,3.457939181226919,33.63169461061632,20.83392760661502,24.29413307802792,0.1841685921783559,5.685563915521005,12.535694967519607,9.050791286336633,245.71058249473572,120.0,2280.0,69.98120614619415,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,83,50.95041928114618,2.6903441023104295,2.450079915628169,3.1850237375315933,3.6783988489385706,3.2929452006197275,1.8654604579266536,3.2277327056509524,2.7772767010091446,2.3859254640382255,42.4729710941276,57.35806841834877,23.53263849657145,38.960500756056845,55.07405047404383,3.237049051493582,35.31073922036915,21.440321320489076,18.56885407990291,50.9504097874763,2.6903441023104295,2.450079915628169,3.1850237375315933,3.6783930524529582,3.2929357143978653,1.8654611639960774,3.227734337857055,2.7772755298319938,2.3859254640382255,42.4729710941276,57.35806841834877,23.53263849657145,38.96079064394797,55.074004343764756,3.2370297890417334,35.311081637083234,21.440262202610977,18.56885407990291,0.20253536115299547,5.198032265109975,6.434071177579812,4.802136125924015,171.60852360725403,90.0,1710.0,111.99147348787636,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,131,62.04243929316141,3.1056439573715315,3.684061784719211,2.248346630239822,3.5184007973450853,3.273500231557207,1.763491464100425,3.2687020146919474,2.788235688538045,3.6012653453612318,25.143327799666334,62.46183771522066,35.210941864171176,54.79752606809603,53.73490610225095,8.597149369518116,20.556768779065596,30.065188199711166,19.24702095092581,62.04243118980145,3.1056439573715315,3.684061784719211,2.248346630239822,3.518400308043012,3.273498333033821,1.763490298540057,3.2687014305007795,2.7882367110851862,3.6012653453612318,25.143327799666334,62.46183771522066,35.210941864171176,54.7975066848267,53.73489557203509,8.597139495646179,20.556834669494613,30.065223808953544,19.24702095092581,0.0217582749492857,8.111715455155988,9.39944321831968,7.198389325460308,255.6099512577057,140.0,2660.0,64.87923451228386,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,131,61.03219091128463,3.3817938350338475,3.994645700902961,2.344681016690657,3.2323855298824045,3.4945365780070716,1.8249208903163106,3.142837425464939,2.869567210239649,3.5077523769224928,69.99659481052143,56.24910931085068,18.07761252819071,33.33080098424279,46.9282270906392,2.4822746507245106,29.24218816421287,36.1802524581255,33.85908725195785,61.03219058497881,3.3817938350338475,3.994645700902961,2.344681016690657,3.2323858611486984,3.4945353146670306,1.8249176744928453,3.142836030139937,2.8695695144818423,3.5077523769224928,69.99659481052143,56.24910931085068,18.07761252819071,33.33080014633484,46.928159794585014,2.482250286190017,29.24225043367159,36.18026553045444,33.85908725195785,0.1787061793473735,8.666172970752339,2.128337193603478,17.754456717052225,275.7273042201996,148.0,2812.0,46.052402522426505,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,78,50.953614427270125,2.980507045239855,3.1982206152917563,2.031066551101671,3.6785344647720803,3.292325624478989,1.8659308002365014,3.227497527228218,2.777557520054713,3.1557144305690707,21.960663105785233,61.21540019865779,49.78202650792071,38.98541932447643,55.079556556990944,3.2452714340079756,35.307238235369276,21.44376335486816,49.1865702160871,50.95361079683031,2.980507045239855,3.1982206152917563,2.031066551101671,3.678533078606368,3.2923276293934944,1.8659286517794684,3.2274935787535397,2.777561934607527,3.1557144305690707,21.960663105785233,61.21540019865779,49.78202650792071,38.98530679201239,55.07936610877941,3.245246456917577,35.30730863087035,21.44385420262299,49.1865702160871,0.20372398919407986,5.1500221012455265,6.406258365544446,4.8172627660895095,163.59671568870544,87.0,1653.0,108.09549693578471,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,124,66.80871428495527,3.144977034383212,3.466285050575022,3.0380232549281114,3.5646252368820064,3.2705806643499686,1.8264641314631023,3.165566201621931,2.867261763769056,2.7558483586561993,15.175695050386405,73.88311239247895,21.804835336499647,39.08393349767221,52.5583519810448,7.4146564016928185,31.466103550932782,27.279936082028787,31.340800796715722,66.80871428495527,3.144977034383212,3.466285050575022,3.0380232549281114,3.5646252368820064,3.2705806643499686,1.8264641314631023,3.165566201621931,2.867261763769056,2.7558483586561993,15.175695050386405,73.88311239247895,21.804835336499647,39.08393349767221,52.5583519810448,7.4146564016928185,31.466103550932782,27.279936082028787,31.340800796715722,2.501882134882356,8.556516957895997,11.161211618790487,4.245476842785015,540.5098643302917,164.0,3116.0,50.47851846845568,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
