Run,Iter,Min Obj,sigma_C_min,sigma_Hc_min,sigma_H1_min,sigma_H2_min,sigma_H3_min,sigma_F_min,epsilon_C_min,epsilon_Hc_min,epsilon_H1_min,epsilon_H2_min,epsilon_H3_min,epsilon_F_min,Min Obj Cum.,sigma_C_cum,sigma_Hc_cum,sigma_H1_cum,sigma_H2_cum,sigma_H3_cum,sigma_F_cum,epsilon_C_cum,epsilon_Hc_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_H3_cum,epsilon_F_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
14,99,76.06906705263543,3.478547010211597,2.0458316617128767,1.781723524619972,1.5595997700544078,1.914807253313613,3.2066055034928787,54.606435083358456,7.864240671133959,10.095742321630135,14.467367094838483,8.607353946900153,22.28905911797311,76.06906681882774,3.478547053341529,2.045832809292915,1.781723524619972,1.5595997700544078,1.914807253313613,3.206605283034094,54.60641754311908,7.864246119032928,10.095742321630135,14.467367094838483,8.607353946900153,22.28906348285909,0.0988330060633665,0.6279281368641544,8.398600401845195,22.256799242246725,126.26328372955322,104.0,1352.0,519.3706012967403,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,60,76.09876813947304,3.486322821616985,2.0259459631771444,1.91163990939826,2.208828657410613,2.64261024681295,3.2077411943662284,55.080494532843005,7.984806994337582,3.63854225539874,13.570241278015704,7.012411826323935,21.694713142154733,76.09876788987253,3.486321894141194,2.0259462246545827,1.91163990939826,2.208828657410613,2.64261024681295,3.2077414839328138,55.08050700241623,7.9847974012831155,3.63854225539874,13.570241278015704,7.012411826323935,21.69474335610993,0.235659575578517,0.5692531305645412,8.287449035673017,22.397620556203087,74.81514024734497,67.0,871.0,111.15232258637536,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,97,76.18774879720561,3.540144372547136,2.0582404425500744,2.261080285820054,1.634300970920243,1.6995671372459789,3.1811016459453607,51.81337091119847,8.060998648792536,11.28363271559282,6.156087884125723,9.970138029864652,21.786999098450533,76.18688785213826,3.540856232111972,2.057964356403416,2.261080285820054,1.634300970920243,1.6995671372459789,3.1814075663181174,51.79513576256458,8.051398726457776,11.28363271559282,6.156087884125723,9.970138029864652,21.78897884712684,0.1766250674146052,0.6228809732060178,8.238916484924705,20.92354032665502,122.514794588089,103.0,1339.0,519.5915800692779,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,67,76.20606130777051,3.53477387165504,2.045800446949024,2.392712451894105,2.893529223066837,1.7406942820266649,3.1858173582596363,51.791186460605054,7.957687864161322,2.472405567501969,6.768240075564158,11.398486511660074,22.079809845456676,76.20562481886401,3.534620512044765,2.044761933543824,2.392712451894105,2.893529223066837,1.7406942820266649,3.1859201151274763,51.799947181772566,7.961475406432989,2.472405567501969,6.768240075564158,11.398486511660074,22.07764981234893,0.1300910804705093,0.7432263785455216,8.100626890263438,20.790072297117764,82.74160146713257,71.0,923.0,267.0112798649969,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,73,76.29732391372107,3.545916874829132,2.059714634851381,2.315307928908034,1.763441881553147,2.7110718273300662,3.1794877889657163,51.54804273842563,8.030240390380726,5.517993049937922,7.496428676533397,2.572818083203768,21.79604717137884,76.2973233715887,3.5459131844358143,2.059719606354279,2.315307928908034,1.763441881553147,2.7110718273300662,3.1794886437870384,51.54795020659828,8.030220944392156,5.517993049937922,7.496428676533397,2.572818083203768,21.7962309143762,0.1525838464523549,0.6849988431658304,8.040814329071074,20.80067330384142,92.89460706710815,80.0,1040.0,46.64343192112976,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,106,76.51268613063466,3.5477783784212,2.096529759423623,2.435147590856582,1.825385354086231,2.1648135314574093,3.1719010993154253,51.23644780497221,8.125198970136548,12.981360446874914,7.881435098076253,3.8822996742376352,21.801625795943146,76.51268058604587,3.547780356011907,2.096531549379796,2.435147590856582,1.825385354086231,2.1648135314574093,3.171901065260168,51.236429516815264,8.125147779209161,12.981360446874914,7.881435098076253,3.8822996742376352,21.801620012635176,0.1174767299005357,0.594552383671804,7.863451782168362,21.210771784914023,147.8215370178223,126.0,1638.0,165.7629274358291,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,66,77.46246503127185,3.567452029431318,2.148769209355338,2.8604216051037987,2.7674615546936487,2.895733167392131,3.154662168865813,50.28799208782864,8.186169106695477,9.41390978752825,9.859753015881196,4.18404258001716,21.637174513193663,77.46246497300824,3.567452278779537,2.1487711375993497,2.8604216051037987,2.7674615546936487,2.895733167392131,3.154662012479694,50.28804768245566,8.186171754354218,9.41390978752825,9.859753015881196,4.18404258001716,21.63712825155917,0.0825721620714102,0.6775903323304376,7.993391034322348,20.971065484733025,92.40325689315796,74.0,962.0,617.3595523581135,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,86,77.52323256043663,3.554432240254988,2.136702010067908,2.6091238227793974,1.6954787192123368,1.585588434680548,3.160929395683869,49.94999926506788,8.133026645165485,11.603515395829898,3.764732566319373,6.558943174168882,22.35455307823063,77.52322422083942,3.5544377596249914,2.136711429587788,2.6091238227793974,1.6954787192123368,1.585588434680548,3.1609260253965026,49.94999891461955,8.133016278017529,11.603515395829898,3.764732566319373,6.558943174168882,22.354361271419112,0.0567713768181009,0.8178571429483168,7.975320071126527,20.934283779648897,105.7326362133026,95.0,1235.0,243.9813127275957,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,33,78.12591348881884,3.5117506454380623,2.0552709018152235,2.59925856478588,2.9253100637704224,1.8935602132210887,3.196733603365773,55.83176770041061,8.197277136191847,10.804147349415022,10.596551514646892,9.911553196759336,20.235945662759185,78.12582192309407,3.5117617054417494,2.055267033995499,2.59925856478588,2.9253100637704224,1.8935602132210887,3.1967282738160514,55.83130731062087,8.197279077694688,10.804147349415022,10.596551514646892,9.911553196759336,20.235810720649727,0.5104067366250002,0.4984272706018184,7.792789542565171,23.312964246785597,45.65152955055237,41.0,533.0,1042.0941113775646,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,36,78.4709003090031,3.548073106115985,2.188628881636764,2.135897811102203,2.6918056704754925,2.136223401691323,3.1528138628903983,49.50329362894561,8.159516774931536,11.53375441526424,14.078407780906913,9.893466060962004,22.79479750749978,78.47083370602871,3.545297162569258,2.187281003447952,2.135897811102203,2.6918056704754925,2.136223401691323,3.15383384314393,49.54088653191924,8.162840100889754,11.53375441526424,14.078407780906913,9.893466060962004,22.859857150255102,0.0958881142078167,0.9403479056255772,7.613689335139322,21.53323126197175,49.29705023765564,43.0,559.0,1753.629558575362,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
