,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
52,R134a,280,2,1305.55677948,19.767357793700004,20.150350605997513,4.061024826710001,1358.273286487392,3872.07610616,197.49262827239113,376.4782743045601,520.3530960404769
53,R134a,280,3,1303.76638414,20.0393485414,20.10653577335594,4.09767583265,1373.858247392013,3919.3953047,197.06320118077895,376.4782743045601,520.3530960404769
54,R134a,300,1,1228.95902398,36.0780978106,18.39778793148733,7.4921071357399995,2782.546276777,3869.24955863,180.31584482237565,376.4782743045601,520.3530960404769
55,R134a,300,2,1226.5142246100002,33.7242130018,18.464324066103654,7.076364892180001,2850.4323476950003,3624.8997722199997,180.96796231439353,376.4782743045601,520.3530960404769
56,R134a,300,3,1230.75213052,37.5985665047,18.340579410942667,7.7273038848099995,2741.6836370309998,4016.4465471700005,179.75514683240732,376.4782743045601,520.3530960404769
57,R134a,320,1,1142.7902546200003,65.30128880960001,16.161727901382136,13.178916686140001,4221.9200911200005,3941.0315258699998,158.40032677730113,376.4782743045601,520.3530960404769
58,R134a,320,2,1140.19232225,63.7479195889,16.20376121988908,12.977312449640001,4250.486272239999,3854.8126429,158.81229333357916,376.4782743045601,520.3530960404769
59,R134a,320,3,1143.6511756999998,62.652446057,16.266714760621493,12.80056599682,4255.94006258,3798.3683057999997,159.4292979932696,376.4782743045601,520.3530960404769
60,R14,130,1,1710.71158098,2.35828337371,12.808904359747384,0.285381570848,-4008.3828958999998,997.802341223,145.54861932595776,232.22552177334188,615.0263971140137
62,R14,130,3,1710.2510616999998,2.34994742085,12.798391112395812,0.284421893563,-4005.1364911199994,994.2338407190001,145.42915644344436,232.22552177334188,615.0263971140137
63,R14,150,1,1606.23421314,9.47709380613,11.860771293501594,1.286603794094,-3112.08695996,1032.7140509219998,134.77490637959275,232.22552177334188,615.0263971140137
64,R14,150,2,1606.53947883,9.98383784964,11.847760991416648,1.3497797434609997,-3074.47569136,1086.582828384,134.62706926157753,232.22552177334188,615.0263971140137
65,R14,150,3,1605.39654718,9.74749804793,11.852866257796967,1.320579848785,-3091.17462951,1061.64526331,134.6850808176074,232.22552177334188,615.0263971140137
66,R14,170,1,1491.1634245300002,29.677012193000003,10.71944945392674,4.28052868705,-2144.935917069,1146.4517931670002,121.8059737299966,232.22552177334188,615.0263971140137
67,R14,170,2,1491.26191709,28.829916790999995,10.734434038437499,4.1781111181,-2161.811869577,1113.590425645,121.97624477937441,232.22552177334188,615.0263971140137
68,R14,170,3,1490.8417184099999,27.203262106000004,10.760069323785013,3.9632307393200006,-2190.4533517749996,1053.1107014109998,122.26754060636823,232.22552177334188,615.0263971140137
69,R14,190,1,1359.0100734999999,67.27194171880001,9.317018677507564,9.89651603766,-1149.78306977065,1084.3600942770001,105.87003904931422,232.22552177334188,615.0263971140137
70,R14,190,2,1359.0479699100001,66.604870432,9.315089072722063,9.83657902231,-1143.50658397945,1075.4513613780002,105.84811279360285,232.22552177334188,615.0263971140137
71,R14,190,3,1356.77148948,65.2338046783,9.329045158920295,9.65299623866,-1147.67689757846,1049.99796583,106.00669693322139,232.22552177334188,615.0263971140137
72,R14,210,1,1187.81477297,144.1542132862,7.341126366551628,19.962009111285,-14.054484300721201,958.529889385,83.41781443124516,232.22552177334188,615.0263971140137
73,R14,210,2,1192.72861711,150.8824346377,7.30697629987048,20.743011095093003,-31.589842638168,1010.091539752,83.02976445321967,232.22552177334188,615.0263971140137
74,R14,210,3,1191.82452956,147.0953419054,7.3429232438147,20.311607767198,-34.610127792396,1017.9351141199999,83.43823249335203,232.22552177334188,615.0263971140137
75,R143,317,1,1175.93409392,12.12398862114,26.11652955863611,3.4948782426899996,2844.3743386819997,3677.3954082500004,310.76308375340443,426.2117909264251,456.2065723356417
76,R143,317,2,1174.57533307,12.07390517915,26.082182765064708,3.4802851041500005,2857.179840029,3661.15161447,310.3543879707842,426.2117909264251,456.2065723356417
77,R143,317,3,1176.7356977499999,12.67301746095,26.120884477278146,3.6606209971699997,2800.6357683650003,3844.10714684,310.81490334695553,426.2117909264251,456.2065723356417
78,R143,337,1,1116.87935762,22.691924594499998,24.08957667517556,6.63239299933,4475.90808069,4080.71955865,286.6441774771009,426.2117909264251,456.2065723356417
79,R143,337,2,1112.3246485800003,22.6011620444,24.003587318831357,6.60763274912,4549.897792649999,4055.33008106,285.62098189946875,426.2117909264251,456.2065723356417
80,R143,337,3,1114.30504715,22.3767306581,24.088378644967758,6.5736771881,4518.72723361,4030.9866445199996,286.62992200104424,426.2117909264251,456.2065723356417
81,R143,357,1,1052.007822028,41.1319118694,21.737626896213424,11.86385607489,6131.397881189999,4527.50902153,258.658102049184,426.2117909264251,456.2065723356417
82,R143,357,2,1048.2129939790002,39.6190514798,21.71624932776022,11.529980865839999,6231.46529215,4383.25091987,258.4037283169945,426.2117909264251,456.2065723356417
83,R143,357,3,1050.4774718090002,41.1222646486,21.668876339233773,11.8286528624,6167.06146149,4541.3662795,257.8400325944047,426.2117909264251,456.2065723356417
84,R143,377,1,976.712684588,69.58573393709999,18.918644622529225,19.21729377671,7737.9439632,4776.580592660001,225.114762286164,426.2117909264251,456.2065723356417
85,R143,377,2,969.146875079,66.78371769009999,18.915182844842114,18.74274694934,7928.399705329999,4563.40630568,225.0735702622812,426.2117909264251,456.2065723356417
86,R143,377,3,970.803009482,67.6298105665,18.90147961128449,18.803871791999995,7867.86250265,4642.67552358,224.91051417520808,426.2117909264251,456.2065723356417
87,R143,397,1,873.2726610240002,113.04592451529999,15.429016575209479,29.19527884139,9802.452861610001,4740.856083060001,183.59134430282577,426.2117909264251,456.2065723356417
