Run,Iter,Min Obj,sigma_C1_min,sigma_C2_F0_min,sigma_C2_Fx_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_F0_min,epsilon_C2_Fx_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_F0_cum,sigma_C2_Fx_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_F0_cum,epsilon_C2_Fx_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
9,108,345.62502908747337,3.8651909260743267,3.3936363229798,3.3296075958321407,2.4157856749150213,2.754544315697172,3.846049071092966,3.0514586410983027,18.07761252819071,11.292208699586714,47.830217795544264,5.116995880150669,31.006912765852093,45.100978203901086,36.03945865400258,345.62502614390064,3.8651909260743267,3.3936363229798,3.329608010508107,2.415788538173056,2.7545409690316944,3.846049071092966,3.0514606093344727,18.07761252819071,11.292208699586714,47.830147507964675,5.117033286870675,31.006887961704585,45.100978203901086,36.039488729950044,0.145692226206978,2.6002025308090673,6.908863187778813,24.590491750561974,146.20697498321533,114.0,1710.0,93.71489475086598,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,69,218.6464366664023,2.027903145951194,2.468724172242841,3.2303407106192634,2.6056009705049026,2.9029965733881857,3.1133063763903124,2.987778756069916,51.70180358151195,35.350501419181015,61.3334077448285,7.942307753265849,22.889688213432024,47.41634993472588,34.56830350671706,218.64643368179995,2.027903145951194,2.468724172242841,3.2303405253224082,2.605611108965719,2.902988549067547,3.1133063763903124,2.987772610271882,51.70180358151195,35.350501419181015,61.33356412418309,7.942278140418366,22.889703895229808,47.41634993472588,34.56826064768008,0.0673737738004872,3.623757206843837,4.583138404133938,9.576774620824114,92.80851149559021,76.0,1140.0,52.319822519737336,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,92,218.64720712353318,3.3415775815751743,2.9017478728266983,3.230431901211572,2.6053246957633607,2.9026182883495966,2.6347678919165536,2.987861447827897,37.96607260338219,73.2971350652714,61.31861761204731,7.940201128208477,22.880354825602197,27.017118392104805,34.57259543195916,218.64720689738687,3.3415775815751743,2.9017478728266983,3.230431947607711,2.6053249459846124,2.9026176702626976,2.6347678919165536,2.98786150236035,37.96607260338219,73.2971350652714,61.31861576008415,7.9401990684963195,22.88035737557622,27.017118392104805,34.57259777333567,0.06580106755701084,3.6379020545299587,4.584291749562436,9.565680129036426,133.27970957756042,101.0,1515.0,27.271764810373924,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,108,218.6464102701657,3.1124804679808378,2.27291045132137,3.2302565556572005,2.6052610222404304,2.903066809414845,2.2149882582121854,2.987816180095631,56.344283724873996,46.381603833519264,61.33410239175713,7.943384040383216,22.8862443189668,34.88351616719798,34.56927449690969,218.6464092299269,3.1124804679808378,2.27291045132137,3.2302575699327623,2.605261607717755,2.9030700457716216,2.2149882582121854,2.9878147108096553,56.344283724873996,46.381603833519264,61.33409160594847,7.94337956940313,22.886113015535276,34.88351616719798,34.56928248134927,0.06679233753985762,3.628282183272721,4.598707795122153,9.56727426259096,141.988520860672,115.0,1725.0,89.21886490807354,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,121,345.625288754389,2.6894733053665867,3.8802149646667337,3.327698061243682,2.4175120572610274,2.7526230322894634,3.8107846374172984,3.051744813590738,45.51254304132427,61.90923342488258,47.97995350852064,5.140448950257265,30.98264548914223,15.54366464427925,36.01148476104312,345.625288754389,2.6894733053665867,3.8802149646667337,3.327698061243682,2.4175120572610274,2.7526230322894634,3.8107846374172984,3.051744813590738,45.51254304132427,61.90923342488258,47.97995350852064,5.140448950257265,30.98264548914223,15.54366464427925,36.01148476104312,0.15075050418161426,2.667799003269823,6.9460929969055165,24.503069001321037,154.78808426856995,122.0,1830.0,20.834816591171506,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,104,345.6283548948588,3.2126589233066607,3.1377028741729625,3.3292538176268187,2.4156409434139925,2.7532280842525028,2.7602823452471004,3.051921377944174,58.44673800892265,53.50013807445701,47.861946287182356,5.122749311263176,31.01172280576557,37.04011274575476,36.02157550991027,345.6283548556821,3.2126589233066607,3.1377028741729625,3.3292549311599453,2.4156392985584296,2.753230367946657,2.7602823452471004,3.0519211881031842,58.44673800892265,53.50013807445701,47.861848355650565,5.122745625372267,31.0117207043152,37.04011274575476,36.02159257144761,0.14660837222066983,2.6506303012412498,6.926283611971688,24.573123632817037,147.27150797843933,113.0,1695.0,54.76180833111289,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,73,218.6468411554549,2.504651489140647,3.4876517081501857,3.2304430398312576,2.6057802475836933,2.9022257453575846,3.6936576029800703,2.987874399611818,42.095031427467454,50.297121694789695,61.32555586843716,7.939770949991287,22.874668583215975,17.45077503017278,34.57367582256395,218.6468411554549,2.504651489140647,3.4876517081501857,3.2304430398312576,2.6057802475836933,2.9022257453575846,3.6936576029800703,2.987874399611818,42.095031427467454,50.297121694789695,61.32555586843716,7.939770949991287,22.874668583215975,17.45077503017278,34.57367582256395,0.0659636686371936,3.6288283865997073,4.579421099826241,9.567346221814946,190.20943903923035,87.0,1305.0,74.61636024513723,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,117,218.64629528235224,2.753160629491549,3.947567076716645,3.230365194769492,2.6054028236271605,2.90316811853892,3.2561523966147004,2.98773902924116,48.1441671426454,58.751414640672905,61.329949145260315,7.939670514945158,22.885642101979286,45.256780051911,34.57106573145084,218.64629176946698,2.753160629491549,3.947567076716645,3.2303644166625256,2.605409329185904,2.9031714941877835,3.2561523966147004,2.9877375547908036,48.1441671426454,58.751414640672905,61.33001333674898,7.93971462320677,22.885687627178715,45.256780051911,34.57108149963057,0.06637970201285104,3.6123338026677914,4.581917489039617,9.577082349911672,157.91965341567993,126.0,1890.0,34.01737748931098,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,160,345.6238043872306,3.5055111074776275,2.13307296270823,3.328835949892113,2.4166817313385516,2.753893813553922,3.2789217617598796,3.05151096581806,70.11251807595781,27.11429008166222,47.88785275606775,5.126783349751756,31.007382070764695,46.773554837623344,36.030019363789116,345.6238043872306,3.5055111074776275,2.13307296270823,3.328835949892113,2.4166817313385516,2.753893813553922,3.2789217617598796,3.05151096581806,70.11251807595781,27.11429008166222,47.88785275606775,5.126783349751756,31.007382070764695,46.773554837623344,36.030019363789116,0.14706456756640188,2.6169685829651175,6.926018765491638,24.572919683174142,254.1372377872467,194.0,2910.0,19.366552547306082,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,67,345.626746235903,2.867352697978917,3.6147210577696827,3.330243622178247,2.4140774517624566,2.757225790383848,2.36802040325493,3.0515019442094555,49.78202650792071,13.504102684793944,47.775754919154586,5.114580597271217,30.984523725127822,15.014070871197509,36.05255436550885,345.626746235903,2.867352697978917,3.6147210577696827,3.330243622178247,2.4140774517624566,2.757225790383848,2.36802040325493,3.0515019442094555,49.78202650792071,13.504102684793944,47.775754919154586,5.114580597271217,30.984523725127822,15.014070871197509,36.05255436550885,0.1334309945779697,2.561292113235853,6.976255000130606,24.68246555369899,82.26047730445862,67.0,1005.0,38.3533884003908,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
