,molecule,temperature,restart,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
54,R170,290,1,327.5803874777777,110.95144974088889,5.554490227884929,42.08334721084034,3197.967535333333,3211.356218577778
55,R23,190,1,1464.1038153333334,5.127896742766667,16.81831907227908,1.1096778360788888,-6845.441352366666,1057.3291444777778
56,R23,210,1,1378.4854538333334,14.486004550666665,15.509594614907087,3.297975033022222,-5819.852998833333,1154.873388756667
57,R23,230,1,1280.8113782777775,32.46601578333333,13.906635410361845,7.566289583711111,-4801.996657822222,1165.3763331266666
58,R23,250,1,1165.464031222222,68.09603263866666,11.901656099404283,15.385643103333335,-3659.5887514444444,1170.8079768633334
59,R23,270,1,1021.2932075144444,140.6473717147778,9.131901528974504,28.30742721498667,-2372.7877027955556,1100.813262197778
60,R32,241,1,1107.0721268222223,14.438281278666667,16.31753255782328,4.811268643211111,-4809.253350844445,2006.7053872888891
61,R32,261,1,1024.1623901166668,29.84344012788889,14.52109081531508,9.881393781622224,-4050.6518184333327,1945.4362484444446
62,R32,281,1,928.3389652055556,59.168369746333326,12.273590423715278,18.34398074592222,-3074.0233804777777,1897.4266508333335
63,R32,301,1,797.7666446711112,119.41039596877778,9.084410641536465,31.94690709099222,-1799.6586026955556,1825.9270234666665
64,R32,321,1,,,,,,
65,R41,210,1,877.2995532122223,9.276504427255555,14.52209762875278,4.192038103333333,-5726.829297655555,911.3482761944445
66,R41,230,1,811.0494937588888,20.21662011511111,12.993065497598952,9.216429677822221,-4780.312103944445,888.2125805766666
67,R41,250,1,735.3230822555555,43.06062645922221,11.021732520347799,18.65087452695555,-3689.5008782333334,878.0796771022223
68,R41,270,1,636.4801188566668,90.79018377733333,8.258454512739252,33.984651914012225,-2380.0287948366663,828.7136904822223
69,R41,290,1,,,,,,
70,R50,130,1,398.46355141555557,5.5842689835111115,8.309349263812322,3.4684329820333333,-2842.748119388889,587.6276288544443
71,R50,140,1,379.16521909444447,9.029609132722223,7.816024752521926,5.856912230611112,-2452.285593533333,579.6251050777778
72,R50,150,1,359.79632191,15.700402724555554,7.21373274775333,10.2009431907,-1979.3294455888888,636.7507505088889
73,R50,160,1,337.95585550333334,24.438556218,6.5205852536497115,15.771706771633335,-1529.404715441111,641.7252693844443
74,R50,170,1,311.5865286277778,37.34944097377778,5.642140028080265,23.241930121944446,-1016.9018386922224,621.0410783688889
