sigma_C1,sigma_F1,epsilon_C1,epsilon_F1,temperature
0.3247406808873081,0.4442055847151057,0.1772223237924397,0.9391174029408238,0.25
0.32194693182289114,0.467739484182335,0.48451633433665336,0.814183884402926,1.0
0.6148172881472765,0.4692707011957946,0.5389823524854961,0.44705987370523204,0.75
0.2124466968452861,0.4716894746994806,0.997422338213931,0.7704044000162064,0.25
0.6821822172568123,0.469678973322223,0.25027569099146,0.612023226555102,0.0
0.480429494110846,0.463275458719933,0.24072495092876445,0.7944642473152844,0.0
0.861112689974282,0.4256574765293496,0.12354703502183835,0.569888875635075,1.0
0.6461190844174302,0.4460087398551856,0.14185761933767924,0.6889647171000258,1.0
0.44560680951988774,0.47130854829839325,0.509259043787364,0.6532065658903079,0.5
0.5065780316309306,0.45293805912027907,0.23627359319439614,0.7418372323889142,0.0
0.3247406808873081,0.4442055847151057,0.1772223237924397,0.9391174029408238,0.5
0.53441069054135,0.46577419706183665,0.33212555157089513,0.6683875103346645,0.0
