Run,Iter,Min Obj,sigma_C1_min,sigma_C2_F0_min,sigma_C2_Fx_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_F0_min,epsilon_C2_Fx_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_F0_cum,sigma_C2_Fx_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_F0_cum,epsilon_C2_Fx_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R14-sim_liq_density-wt,R14-sim_vap_density-wt,R14-sim_Pvap-wt,R14-sim_Hvap-wt,Run Time,jac evals,func evals,Optimality,Term Status,Message
6,87,6544.117313783148,3.3128569890038446,2.274949408292475,2.278552694501517,2.7110869330642857,2.795353673971067,2.330708394233865,2.9264168866555753,38.68365079236843,58.802786703850124,57.18986904777936,9.06644872964648,36.828527246946315,41.2829851909568,31.110591942687744,6544.117313783148,3.3128569890038446,2.274949408292475,2.278552694501517,2.7110869330642857,2.795353673971067,2.330708394233865,2.9264168866555753,38.68365079236843,58.802786703850124,57.18986904777936,9.06644872964648,36.828527246946315,41.2829851909568,31.110591942687744,0.6310940131900686,493.5570970934174,6041.80687931318,8.122243363360756,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,157.5698127746582,136.0,2040.0,94247.3720223821,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,254,6917.83508871436,3.3037069797554603,3.2342898272414478,2.653289803544192,2.2905871533864137,3.771884198621549,2.7145395200049993,2.927902175028005,39.48415101087237,11.02838078502616,70.4134201933445,7.527175340135393,49.906299765801826,21.0319177920865,30.992103265887916,6917.789432908343,3.303766659552998,3.2342898272414478,2.653289803544192,2.2905871533864137,3.771884198621549,2.7145395200049993,2.92794955152939,39.4860114226193,11.02838078502616,70.4134201933445,7.527175340135393,49.906299765801826,21.0319177920865,30.99207554278509,0.5561830340300769,553.9380559432811,6355.568791139929,7.772058597119203,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,446.98166251182556,386.0,5790.0,346458.2536992628,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,39,18566.266817462307,2.979702160694332,2.13307296270823,2.5206301971570815,2.707131845615018,2.3868685652466555,3.2789217617598796,2.937678482226953,45.6644261743358,27.11429008166222,14.287470894461547,7.880527706309357,42.02623103401364,46.773554837623344,35.08081085482565,18566.266817462307,2.979702160694332,2.13307296270823,2.5206301971570815,2.707131845615018,2.3868685652466555,3.2789217617598796,2.937678482226953,45.6644261743358,27.11429008166222,14.287470894461547,7.880527706309357,42.02623103401364,46.773554837623344,35.08081085482565,0.14360468726931147,1065.4588524667204,17491.16813862174,9.496221686577936,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,75.51422309875488,65.0,975.0,466715.3530508926,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,14,23381.327462937224,3.026035782898929,3.947567076716645,3.209432201948106,2.743268711971039,3.1494230094162043,3.2561523966147004,2.937226480144594,53.891938294394265,58.751414640672905,65.79039936788776,8.040657507741443,39.43200369565561,45.256780051911,31.916708953601876,23339.592531472605,3.025655115567641,3.947567076716645,3.209432201948106,2.743268711971039,3.1494230094162043,3.2561523966147004,2.9367987525113133,53.88266348808973,58.751414640672905,65.79039936788776,8.040657507741443,39.43200369565561,45.256780051911,31.911473346772592,1.0313655139820874,1435.2153351759632,21943.216869701384,1.8638925458927065,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,66.16979193687439,57.0,855.0,204978.2609467981,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,30,29012.91055963233,3.078021306715137,2.9017478728266983,2.7642055040630344,2.1162170248832783,2.8029591669390808,2.6347678919165536,2.9173580128340824,32.315451324461364,73.2971350652714,54.05705794323023,3.5885591074168874,29.93453532718115,27.017118392104805,37.37252651723353,29012.401789799962,3.0780278437274355,2.9017478728266983,2.7642055040630344,2.1162170248832783,2.8029591669390808,2.6347678919165536,2.9173592040178127,32.31553951136173,73.2971350652714,54.05705794323023,3.5885591074168874,29.93453532718115,27.017118392104805,37.372596274763836,0.39649326480656805,481.7609686999361,28515.798368586697,14.954729080891507,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,88.17198443412781,76.0,1140.0,959594.7928590461,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
9,102,313752.5901877774,3.7482112365022644,3.3936363229798,2.1320003454441245,2.6331945789036992,3.5077523769224928,3.846049071092966,3.1565112057315914,17.815305782393423,11.292208699586714,11.703714147051755,2.226451904166357,23.617387366106605,45.100978203901086,34.798720891099755,313752.105562771,3.7482490983408985,3.3936363229798,2.1320003454441245,2.6331945789036992,3.5077523769224928,3.846049071092966,3.156517677123885,17.815522532274976,11.292208699586714,11.703714147051755,2.226451904166357,23.617387366106605,45.100978203901086,34.798522656216825,617.5683467075568,76807.97362257473,236281.31314327178,45.735075223360994,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,134.4362874031067,116.0,1740.0,324926.19579003466,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,35,314715.7482884001,3.745583755353193,3.684061784719211,2.248346630239822,1.918775518516709,3.1715185429165755,3.939191496639349,3.1587937045364427,17.43268791844335,62.04112372424007,25.143327799666334,8.456841564950235,28.575122542246014,45.22396490958001,34.99026555004461,314715.71826083865,3.7457001005732344,3.684061784719211,2.248346630239822,1.918775518516709,3.1715185429165755,3.939191496639349,3.158759275364269,17.434949428144744,62.04112372424007,25.143327799666334,8.456841564950235,28.575122542246014,45.22396490958001,34.987954880189164,639.8683261642491,74437.7355209497,239602.63117968047,35.5132616056971,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,49.79188060760498,43.0,645.0,5648844.6408384405,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,23,997967.4419585777,3.098725689399014,3.578558656902977,2.206452013155284,2.1718402892638577,3.817191006186191,2.5872282967473588,3.182197068220127,44.284604672815384,11.258852261569311,54.12430964109292,3.6930249280004728,24.29413307802792,32.20506057481184,36.01030581971807,997843.3533021719,3.104466399122981,3.578558656902977,2.206452013155284,2.1718402892638577,3.817191006186191,2.5872282967473588,3.1831241796167067,44.345754144834764,11.258852261569311,54.12430964109292,3.6930249280004728,24.29413307802792,32.20506057481184,35.87667231970749,393.8458528712454,109186.28887417921,886115.9282633967,2271.3789681306066,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,42.9183394908905,37.0,555.0,209425.32587263524,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,49,998017.8793144668,3.114600099775524,3.6147210577696827,2.6304896061907455,2.839333062787727,3.1557144305690707,2.36802040325493,3.18382213454492,44.39939384294874,13.504102684793944,37.3125892000736,7.432550692523438,47.15106222921341,15.014070871197509,35.682870083036335,998010.4268700824,3.114496932484539,3.6147210577696827,2.6304896061907455,2.839333062787727,3.1557144305690707,2.36802040325493,3.1837119125493993,44.4003644865612,13.504102684793944,37.3125892000736,7.432550692523438,47.15106222921341,15.014070871197509,35.68495308275759,399.07507129567034,109292.76836252339,886076.4030671936,2249.6328134542587,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,98.41000056266785,85.0,1275.0,476962.8472866152,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,64,999196.862806784,3.0833492704152854,2.29345714981162,3.178611073806568,2.549637540031396,2.2046688576556512,2.8281119756391364,3.183215538091126,44.000733578092444,13.246974831495667,44.833266384508256,7.310357161758311,33.0211189220408,48.06081645967847,36.35595298449591,999196.6794944406,3.0833844180005947,2.29345714981162,3.178611073806568,2.549637540031396,2.2046688576556512,2.8281119756391364,3.1832406370900967,43.99669478766093,13.246974831495667,44.833266384508256,7.310357161758311,33.0211189220408,48.06081645967847,36.35666726523606,402.18650498115534,115241.14430421255,881273.1774089714,2280.3545886190204,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,92.63033819198608,80.0,1200.0,4663709.165218936,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
