sigma_Cm,sigma_C1,sigma_C2_0,sigma_C2_1,sigma_C2_2,sigma_C2_3,sigma_H1,sigma_F_1,sigma_F_2,sigma_F_3,sigma_F_4,epsilon_Cm,epsilon_C1,epsilon_C2_0,epsilon_C2_1,epsilon_C2_2,epsilon_C2_3,epsilon_H1,epsilon_F_1,epsilon_F_2,epsilon_F_3,epsilon_F_4,ExpValPrior,rcc,num params opt
3.834787150468593,3.378427264295412,3.8411949856969945,3.428549392486074,3.4137381709369556,3.7443771092735245,2.05232578798746,3.1104666564530428,2.8547754997372694,2.9871484526943712,2.9311071610254125,48.10894475119233,43.08367615790718,45.66576252456097,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,26699.937666774516,-24.736526518640208,10
3.831883078263037,3.389790332217586,3.8475191708186376,3.4271806410503176,3.4137381709369556,3.745016967846833,2.05232578798746,3.1104666564530428,2.8406930782226105,2.9885705078285927,2.9302390303159758,48.10894475119233,42.51482719595938,45.611038622144015,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,26665.64041972024,-26.66328926958426,11
3.8379878366550435,3.3863895901861785,3.8476954785825734,3.4306339777430144,3.4173599157252736,3.7429240437713993,2.05232578798746,3.1104666564530428,2.843265546086926,2.98792603252994,2.9304741605919893,48.10894475119233,42.68755482080959,45.65772531337909,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,26664.73537657171,-28.872616998178824,12
3.834423104280176,3.393756104874444,3.8459834361350436,3.4314938506240686,3.421198227298024,3.7421941194612534,2.05232578798746,3.1104666564530428,2.842775331493041,2.9899853012600635,2.9299840642240964,48.10894475119233,42.508644174184575,45.67913428361186,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.53186047741625,26660.07984556817,-31.489810142173706,13
3.826145506744374,3.3922835228063715,3.8456348294424814,3.4178591728089196,3.417712732203329,3.745256312940681,2.05232578798746,3.035614992352322,2.841480050300066,2.9928026761643896,2.9301215442643542,57.052893205498705,42.58248685212674,45.65608462977717,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.529832162488553,9252.848877046497,-59.492692539993456,14
3.8298059764322803,3.3927087227448327,3.8457672087114476,3.419157209915501,3.4117557545042736,3.7448682189161597,2.05232578798746,3.0462300554006694,2.8432432853900846,2.991119967595451,2.9300187262152755,57.12956875065048,42.4863971001596,45.65305731214832,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.59256170030476,20.68674673869723,28.5567987931901,9247.122739395743,-66.09858875499393,15
3.84922209188107,3.4005053593287258,3.8150962169287,3.4263620413727347,3.400362758919153,3.7634559884933907,2.2867277252465534,3.138078338365533,2.825264398078237,2.958191791248815,2.930001158338441,48.10894475119233,42.89857517417539,41.944061263773364,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,43.195641787482685,20.68674673869723,28.29259317247289,10647.456749787549,-71.8469230450971,16
3.67303651037885,3.9793456612124216,3.811448210851916,3.2897070886046413,3.7360315497557757,3.7927164493517567,2.1254791036732037,3.2614878530919693,2.7257026633432697,2.9836321762172977,2.9178729615786314,45.796325266315534,50.00000000000001,35.509976621719595,57.2871721246258,34.36776790756747,37.56768106069546,15.0,31.624579658674687,30.892686023845012,20.68674673869723,15.0,603330.9540974963,3946.165860303246,17
3.676821627166516,3.3975636475305033,3.827328860410998,3.359622139658015,3.6125311789515213,3.993985237231588,2.1090739938950813,3.306836445711353,2.8308666746759426,2.8948248485378967,2.9301827505090627,46.65436236185883,42.897737548430605,36.059254475781636,57.2871721246258,34.36776790756747,37.56768106069546,15.0,31.624579658674687,36.08170856339425,15.0,28.345249151971206,51463.24610815781,4.267946093684908,18
3.5409492835922936,3.359115295673395,3.7406310744062936,3.1088643657017716,3.758711928239025,3.4901912454949664,2.2539392960493605,2.94123665098275,2.372134613878548,3.07355588760402,2.937006202209935,47.6558408836548,50.00000000000001,28.986251128059877,57.2871721246258,44.460223899978715,37.56768106069546,18.040854281697126,31.624579658674687,15.0,30.290509345285482,26.915046696562328,265249.8425321429,1531.3293491221498,19
