Run,Iter,Min Obj,sigma_C_min,sigma_H_min,sigma_F_min,epsilon_C_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C_cum,sigma_H_cum,sigma_F_cum,epsilon_C_cum,epsilon_H_cum,epsilon_F_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
3,37,114813.93474731284,3.3624055561590875,2.3348125577212766,2.9373811185566923,52.53234295855898,11.076286720245092,26.570779729279437,114813.93474731284,3.3624055561590875,2.3348125577212766,2.9373811185566923,52.53234295855898,11.076286720245092,26.570779729279437,4.522057614077953,2818.5985580191145,268.48132432140653,26.4608577295881,199.3414893609621,19954.85829345765,12728.263437583182,1166.3279837775322,736.7536080346674,71.89383040086399,53.67578677486496,373.68817294443454,230.2038743377796,1027.4005943137404,619.638108997813,211.12504507530616,5.5326736895999895,38.42399812026239,73.52239927836885,15.508678908980167,5.447600209391586,279.5043148674626,237.72863415626728,2.026764086498206,148.94217275828535,1308.472836222399,860.7927702183521,307.51449580070465,167.07269960268587,18720.405719171475,10689.644959120384,1503.3820723274412,589.9081361293793,61.0,427.0,9771.02819078071,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,22,114814.53769504098,3.3653294857334397,2.33520004526496,2.937150878436401,52.39346227216988,11.081271648680245,26.551441836916105,114814.52531825638,3.365321467379763,2.335178998619346,2.9371487286407163,52.39392133410869,11.0812494220004,26.551403457441104,4.506262649979492,2781.9092824064624,266.33751128853595,26.17925746537076,201.55631653109023,20039.09824119972,12777.791026890352,1172.7780430519765,726.9550812253254,71.62570444834911,54.40022843500861,369.1253157597936,227.74576980188107,1024.7208747112886,618.4341148561383,212.4575430102562,5.654023920182981,37.741269141983,73.1714082604108,15.99018152235534,5.467419784709058,275.544011745912,233.79878559240348,2.1111381504738094,148.58282342628533,1306.8740168863385,860.0589464967398,307.9221191807735,169.11037257952484,18793.9369709383,10729.133593112816,1507.3926084500822,297.86798429489136,30.0,210.0,22662.859863220536,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,37,114814.97540785425,3.3617384880043644,2.336638143090316,2.9373657656238272,52.56366343134695,11.083087991264636,26.576311304201425,114814.97523785372,3.361738695219477,2.3366383656131235,2.937365673815027,52.563653475900125,11.083088248584923,26.576310591013897,4.556133045051413,2842.89480598991,269.29659937475367,26.58759753566717,199.9010794117915,19966.34862157164,12736.705791016871,1166.7116826466136,735.8037410943609,72.45279725953492,48.84098864917466,380.5860400059968,228.86198655017432,1035.2813434209927,623.1006977219004,212.7743246715051,5.472720512187058,38.93134889874453,73.3654561056459,15.349571371593916,5.358605656340552,280.32154522304086,238.5954422043324,1.9979176276495456,148.3027055828318,1306.3300034469753,859.3580143213162,307.3603157818199,167.16664523178787,18678.53939435034,10665.846553821017,1499.9932028815956,466.56626558303833,46.0,322.0,12350.500470734523,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,32,114815.16109030694,3.362659376348721,2.3383846164879976,2.937278516488816,52.50665174584643,11.08336030778458,26.568015492207795,114815.1604304624,3.362666279670419,2.3383876882098447,2.937278174944013,52.50660433364294,11.083294145772452,26.567882499073555,4.497769220297208,2778.9156457087443,266.2069372351308,26.097891721798806,202.1208457526845,20082.45307841267,12808.04096917238,1174.3380990669784,727.3581329979593,72.37164706065487,48.33337805651044,378.7518323405416,224.67693410231615,1021.3297714098712,617.2127572261791,208.85090605838272,5.38108557340353,40.48895078234695,73.16420365297756,15.041112401624696,5.238173299372934,282.0353690795984,240.30297525285545,1.940939825999844,146.86616554315768,1287.6657799628897,846.9098178823339,304.6877230789352,169.26625036089126,18735.61222412412,10700.501952004231,1505.1636687543291,429.6272084712982,42.0,294.0,33516.11389999112,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,38,114815.57286630067,3.365439125540987,2.3362995166785123,2.937068968113054,52.37289497808688,11.078655783763685,26.55714132641713,114815.4690782346,3.365239749347187,2.336165534046536,2.937052038145269,52.370446624612285,11.083946815133736,26.56173537321973,4.545407637878614,2806.011491958,266.6437510849984,26.31079428291768,202.49942531518187,20089.25252837534,12808.961488766978,1176.1233550042066,722.1584281294744,71.49170917145581,55.01484269223572,367.00031505877536,224.7571283940171,1009.7609748722468,612.2003215551016,207.59082450798277,5.628453979846146,38.11740525237299,73.05767759020776,15.920375132792955,5.402863106722706,276.49389709977214,234.75476133479327,2.076237850946055,147.76701870492928,1296.5471225399906,853.0731280206077,306.3428786601155,170.2671763674632,18825.63947134692,10749.50055191655,1510.8106696594143,500.6560757160187,50.0,350.0,23426.54431121769,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
21,28,114815.61032505357,3.3616104293158755,2.3356722191153216,2.9373040272635453,52.56066871716008,11.074721186931455,26.58113031222218,114815.60507962796,3.3616157128269286,2.3356694835987697,2.937303701078824,52.56054873817732,11.074690340966152,26.581086826784432,4.5910963682555685,2864.354780288437,269.6816958071768,26.694468340442786,199.2545655037369,19954.96387134477,12729.621062929316,1166.1307824407486,736.2236131970035,71.93171040033491,53.00372976416773,374.7365370550199,228.81163677142683,1020.5083296326454,616.8480209481725,208.16222378698689,5.514027717701564,38.66270943644783,73.70008704378691,15.392230470134328,5.41089369728074,281.03980666519385,239.25407004911816,1.9888245794766397,148.56625596617883,1303.7198581784317,857.496733319283,306.66083182053893,167.15868240273682,18710.194755913024,10685.583952094124,1503.436110521527,374.1642158031464,38.0,266.0,53998.80600408562,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,39,114815.8313467225,3.3633519874459887,2.3360792794507232,2.9371462715426784,52.44550077216018,11.082520190971856,26.587109120386195,114815.69830802902,3.3635120146620627,2.335706866677944,2.937145909947568,52.432437820276334,11.087454125337672,26.586855262957293,4.6623668693091735,2919.825478357312,270.75540594170525,27.117808729088583,200.667043429358,20005.85437884597,12759.212416670509,1169.6702117052632,728.7614793489771,71.72603481226795,54.5952282397744,370.3987913741574,225.99401340991272,1011.867482387932,614.045598166609,205.71961701809408,5.599335311131816,38.13363968393811,73.20347876639134,15.829217482651334,5.399721604904118,278.07935462063887,236.33055753408053,2.0471941581272284,148.1048907438766,1298.2863861158444,854.0995026455287,306.4586176957024,168.56706330018602,18791.77171190609,10726.3493465478,1507.0197075237252,443.36906361579895,45.0,315.0,56255.08027355893,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,30,114818.31022979564,3.360592189769937,2.335956665158012,2.9375637719209475,52.61862619208537,11.07762182361824,26.58574511454005,114818.3097722856,3.360592649355314,2.335955925437479,2.9375637290956136,52.61863128098477,11.07761487710428,26.58573293341516,4.546473947264815,2863.636731642173,270.99729146643153,26.84083457853744,198.8636982533368,19927.70507754364,12713.222849599651,1163.9538025227787,740.2434793821792,72.3217503559818,50.16753102310386,380.1499342644082,230.16772708761093,1032.076365656062,621.6703805928712,211.0811264130858,5.420238560177815,38.88997792397244,73.3513558317245,15.226902931996342,5.359590599844539,281.5481999477956,239.8136073827078,1.9751729558146167,148.56684054243053,1308.336506323815,860.5041206029296,307.3000636694983,166.34900124289834,18658.94155238582,10656.56396606266,1499.6211367380647,367.5366590023041,37.0,259.0,11445.373006785268,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
22,23,114818.31948541288,3.366664968300093,2.3346386393381247,2.9369963358970703,52.34857941778866,11.079451806547151,26.53530265132104,114818.31943513232,3.3666668070613905,2.334638990022331,2.936997482817025,52.34851806404352,11.07952020473925,26.535361456919077,4.497591345693635,2751.817637045024,265.0166182952074,25.89483027003184,201.9035778540625,20046.93249679551,12781.72354623984,1174.056568956572,724.7207800138631,71.49458165792977,55.39452712517386,366.5873047798344,228.19217954529336,1027.191568063795,618.9710343994733,214.8627355203008,5.76895870858625,36.860588386137394,73.419829570447,16.306913011876432,5.547004923450694,273.3558090381459,231.59456638055903,2.171743961127461,149.0198586436394,1313.3262855974274,864.5135399644911,309.0235330708615,169.53481671349118,18805.3154610766,10736.284873111776,1508.2401006213104,260.2102732658386,26.0,182.0,12087.256346034284,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,55,114819.227677051,3.360335777818147,2.3358022405312715,2.937549947919724,52.63287884040749,11.0776950344693,26.58402547561448,114819.227677051,3.360335777818147,2.3358022405312715,2.937549947919724,52.63287884040749,11.0776950344693,26.58402547561448,4.531949224763424,2844.4935116983143,270.16011229148785,26.664961437706232,198.56983859245327,19919.781843676425,12708.747822436337,1163.2877430846656,741.669634037399,72.3779104485086,49.97488791948799,380.9031982618666,230.7520427755133,1034.428514785389,622.6570830270803,211.65513654937783,5.4068613189800665,39.22884711529925,73.56308297474455,15.106679617636956,5.367370765668022,282.3625970120838,240.60182711614908,1.9607945608293955,148.66703838519123,1307.8153283714537,860.1587587235459,307.14713903555577,166.0448795486965,18651.44733211701,10652.110824317791,1499.0235641898803,829.0796413421631,89.0,623.0,12321.978719246825,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,32,114819.24454916106,3.3604818256705538,2.335998390982809,2.9374123317906142,52.62458080533593,11.077493368064594,26.58650307396506,114819.24398387923,3.360478046406952,2.3360030603442024,2.937413272677543,52.6245192850984,11.07758493743392,26.586613097510003,4.599704131187862,2883.7164836977017,271.05886130235405,26.852462162819396,198.53383351409485,19911.87006498482,12704.158473476067,1162.9685577684825,740.5288470616406,72.35085360489715,49.999359392407456,380.5014037964655,230.21732235921803,1032.406223213177,621.7922870231544,211.11913638782187,5.472471456338907,38.65899587886013,73.70095155734458,15.281375712705412,5.393060908508585,281.6339345186186,239.87692348273987,1.9776739461715696,148.75535812275692,1309.74830421014,861.4646098784483,307.4910887820147,166.15264327750964,18650.110448036,10651.47985108581,1498.883570534389,418.61394810676575,40.0,280.0,63866.16786570744,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,31,114820.43292043036,3.3656722222524724,2.336238893863648,2.936978808309714,52.33795912917035,11.081567530113292,26.548358880245548,114820.4273757212,3.365673674588608,2.336240835242429,2.9369786353680998,52.33785732318593,11.081604855539249,26.54838553718343,4.430536525195988,2684.198880876252,261.1605682353305,25.341934399182108,203.09303867035936,20157.21610869837,12851.129814108888,1179.8122113202537,720.5028433615231,71.46080060694659,56.62510802179203,364.68841817578107,223.7501133512372,1003.1894102010904,610.0645257335432,204.98727733596652,5.506645108807724,40.804777880554674,73.44485230241884,15.26395901857934,5.352113745100754,280.3823521938615,238.5431688370989,1.985178994961889,147.0951316773618,1276.0339499624492,839.4831980312127,303.21103664675644,170.83247042755193,18893.68977244028,10785.056252785076,1514.937370274501,419.9459221363068,42.0,294.0,59141.88897770672,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,33,114828.52982162402,3.359071413073064,2.3359798649028733,2.9377218159933105,52.70502824825956,11.0777402239878,26.600236816712037,114828.52881038174,3.3590708265054303,2.335978149135426,2.937721763273369,52.70508298914543,11.077721379581762,26.60021269219168,4.623016315401881,2955.27403386477,275.70035260365734,27.563142252828403,197.49675831143892,19842.262604959,12661.661294051351,1158.250886057541,746.3299832399288,72.8435217580136,47.80034265886224,385.7913817467251,232.21587457828744,1043.4374007838796,626.2723680089568,213.74954352439053,5.431529497786978,37.688020673824,73.22027783159353,15.388699497166062,5.374565087150074,280.7847315630754,239.1224010409799,1.996527235665756,149.15218877125017,1322.6759746851797,869.9346671259079,309.29774471080225,164.88143344630927,18576.459542988752,10610.74183246266,1493.7959750942764,425.5005576610565,42.0,294.0,63848.2690114575,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
